snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-24,9788845278709,,,50.0,24,77
2026-09-24,9788863113556,,,50.0,35,66
2026-09-24,9788863113594,0.0,0.0,50.0,36,61
2026-09-24,9788815397225,0.0,0.0,5.0,31,47
2026-09-24,9788863115291,,,50.0,57,44
2026-09-24,9788836232567,0.0,0.0,5.0,14,43
2026-09-24,9788863113853,0.0,0.0,50.0,20,43
2026-09-24,9788863116151,0.0,,50.0,26,41
2026-09-24,9788823536104,0.0,0.0,5.0,48,40
2026-09-24,9788845934018,0.0,0.0,5.0,51,39
2026-09-24,9788859825067,0.0,,5.0,54,37
2026-09-24,9788807902499,,,5.0,64,37
2026-09-24,9788808998941,,,5.0,65,36
2026-09-24,9788838935688,0.0,0.0,5.0,23,35
2026-09-24,9788815389688,,,5.0,66,35
2026-09-24,9788815397232,0.0,0.0,5.0,46,33
2026-09-24,9788892140257,0.0,,5.0,27,32
2026-09-24,9791256240357,0.0,0.0,5.0,16,31
2026-09-24,9788804783145,0.0,0.0,5.0,62,31
2026-09-24,9788834737934,,,50.0,72,29
2026-09-24,9788863114126,0.0,0.0,50.0,15,29
2026-09-24,9788834830710,,,5.0,73,28
2026-09-24,9788863114348,0.0,10.0,50.0,25,25
2026-09-24,9788858155325,,,20.0,77,24
2026-09-24,9788863114454,0.0,,50.0,38,22
2026-09-24,9788863114775,,,50.0,79,22
2026-09-24,9788822783387,0.0,0.0,5.0,33,21
2026-09-24,9791223209790,0.0,0.0,5.0,12,21
2026-09-24,9788863116175,,,50.0,80,21
2026-09-24,9788806271978,0.0,0.0,5.0,30,21
2026-09-24,9788845277634,0.0,0.0,5.0,74,21
2026-09-24,9788828878919,0.0,0.0,5.0,70,20
2026-09-24,9788897109709,,,5.0,81,20
2026-09-24,9788863114096,0.0,0.0,50.0,21,19
2026-09-24,9791221115840,,,5.0,83,18
2026-09-24,9788822783967,0.0,0.0,5.0,68,16
2026-09-24,9791257800048,,,5.0,85,16
2026-09-24,9788467479393,,,50.0,86,15
2026-09-24,9788804778141,,,5.0,89,12
2026-09-24,9788829608959,0.0,0.0,5.0,13,12
2026-09-24,9788806216948,,,5.0,91,10
2026-09-24,9788806244583,0.0,0.0,5.0,63,9
2026-09-24,9788834864876,0.0,,5.0,49,8
2026-09-24,9791221110623,0.0,0.0,5.0,11,8
2026-09-24,9788814027338,,,5.0,94,7
2026-09-24,9791259856265,0.0,0.0,5.0,10,7
2026-09-24,9791221934892,0.0,0.0,5.0,59,7
2026-09-24,9791223800867,0.0,,5.0,28,7
2026-09-24,9788815290953,,,5.0,95,6
