snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-24,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-24,9788467479393,35.0,17.5,50.0,,0.0,17.5,50.0
2026-09-24,9788800500876,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-24,9788804732495,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-24,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-24,9788804778141,14.0,13.3,5.0,,0.0,13.3,5.0
2026-09-24,9788804783145,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-24,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-24,9788804813163,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-24,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-24,9788804819967,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-24,9788806216948,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-24,9788806244583,14.0,13.3,5.0,13.3,0.0,13.3,5.0
2026-09-24,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-24,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-24,9788807901874,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-24,9788807902499,9.0,8.55,5.0,,0.0,8.55,5.0
2026-09-24,9788807903793,9.5,9.02,5.0,9.02,0.0,9.02,5.0
2026-09-24,9788808599056,81.1,77.04,5.0,77.04,0.0,77.04,5.0
2026-09-24,9788808998941,99.8,94.81,5.0,,0.0,94.81,5.0
2026-09-24,9788814027338,23.0,21.85,5.0,,0.0,21.85,5.0
2026-09-24,9788815290953,39.0,37.05,5.0,,0.0,37.05,5.0
2026-09-24,9788815389688,32.0,30.4,5.0,,0.0,30.4,5.0
2026-09-24,9788815389817,56.0,53.2,5.0,53.2,0.0,53.2,5.0
2026-09-24,9788815397225,47.0,44.65,5.0,44.65,0.0,44.65,5.0
2026-09-24,9788815397232,34.0,32.3,5.0,32.3,0.0,32.3,5.0
2026-09-24,9788815397249,44.0,41.8,5.0,41.8,0.0,41.8,5.0
2026-09-24,9788817174459,27.0,25.65,5.0,25.65,0.0,25.65,5.0
2026-09-24,9788817200097,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-24,9788817200646,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-24,9788820075453,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-24,9788820081560,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-24,9788820085582,23.0,21.85,5.0,21.85,0.0,21.85,5.0
2026-09-24,9788820086626,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-24,9788822665225,10.9,10.36,5.0,,0.0,10.36,5.0
2026-09-24,9788822783387,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-24,9788822783967,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-24,9788823536104,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-24,9788828869269,72.0,68.4,5.0,68.4,0.0,68.4,5.0
2026-09-24,9788828878469,70.0,66.5,5.0,66.5,0.0,66.5,5.0
2026-09-24,9788828878919,30.0,28.5,5.0,28.5,0.0,28.5,5.0
2026-09-24,9788829608492,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-24,9788829608959,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-24,9788829790135,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-24,9788830906471,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-24,9788834737934,6.9,3.45,50.0,,0.0,3.45,50.0
2026-09-24,9788834830710,22.0,20.9,5.0,,0.0,20.9,5.0
2026-09-24,9788834845783,34.0,32.3,5.0,32.3,0.0,32.3,5.0
2026-09-24,9788834864876,42.0,39.9,5.0,39.9,0.0,39.9,5.0
2026-09-24,9788836232567,58.0,55.1,5.0,55.1,0.0,55.1,5.0
2026-09-24,9788838935688,27.0,25.65,5.0,25.65,0.0,25.65,5.0
2026-09-24,9788838949968,28.0,26.6,5.0,26.6,0.0,26.6,5.0
2026-09-24,9788845277634,14.0,13.3,5.0,13.3,0.0,13.3,5.0
2026-09-24,9788845278709,17.5,8.75,50.0,,0.0,8.75,50.0
2026-09-24,9788845925023,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-24,9788845934018,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-24,9788849553918,84.0,79.8,5.0,79.8,0.0,79.8,5.0
2026-09-24,9788849561067,38.0,36.1,5.0,36.1,0.0,36.1,5.0
2026-09-24,9788850241910,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-24,9788858019672,12.9,12.26,5.0,12.26,0.0,12.26,5.0
2026-09-24,9788858059661,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-24,9788858155325,20.0,16.0,20.0,,0.0,16.0,20.0
2026-09-24,9788859825067,32.0,30.4,5.0,30.4,0.0,30.4,5.0
2026-09-24,9788859826965,45.0,42.75,5.0,42.75,0.0,42.75,5.0
2026-09-24,9791259577115,16.9,16.06,5.0,16.06,0.0,16.06,5.0
2026-09-24,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-24,9788863113495,12.0,6.0,50.0,6.0,0.0,4.8,60.0
2026-09-24,9788863113556,12.0,6.0,50.0,,0.0,6.0,50.0
2026-09-24,9788863113594,14.0,7.0,50.0,7.0,0.0,5.6,60.0
2026-09-24,9788863113853,19.0,9.5,50.0,9.5,0.0,9.5,50.0
2026-09-24,9788863114096,14.0,7.0,50.0,7.0,0.0,7.0,50.0
2026-09-24,9788863114126,12.0,6.0,50.0,6.0,0.0,4.8,60.0
2026-09-24,9788863114348,14.0,7.0,50.0,7.0,0.0,5.6,60.0
2026-09-24,9788863114409,12.0,6.0,50.0,6.0,0.0,4.8,60.0
2026-09-24,9788863114454,12.0,6.0,50.0,6.0,0.0,6.0,50.0
2026-09-24,9788863114775,12.0,6.0,50.0,,0.0,6.0,50.0
2026-09-24,9788863114928,18.0,9.0,50.0,9.0,0.0,7.2,60.0
2026-09-24,9788863115130,15.0,7.5,50.0,7.5,0.0,6.0,60.0
2026-09-24,9788863115291,12.0,6.0,50.0,,0.0,6.0,50.0
2026-09-24,9788863116151,18.0,9.0,50.0,9.0,0.0,9.0,50.0
2026-09-24,9788863116175,18.0,9.0,50.0,,0.0,9.0,50.0
2026-09-24,9788891847560,24.9,23.66,5.0,23.66,0.0,23.66,5.0
2026-09-24,9788892140257,45.0,42.75,5.0,42.75,0.0,42.75,5.0
2026-09-24,9788897109709,8.5,8.08,5.0,,0.0,8.08,5.0
2026-09-24,9791221110623,52.0,49.4,5.0,49.4,0.0,49.4,5.0
2026-09-24,9791221115550,73.0,69.35,5.0,69.35,0.0,69.35,5.0
2026-09-24,9791221115840,49.0,46.55,5.0,,0.0,46.55,5.0
2026-09-24,9791221120066,54.0,51.3,5.0,51.3,0.0,51.3,5.0
2026-09-24,9791221121209,57.0,54.15,5.0,54.15,0.0,54.15,5.0
2026-09-24,9791221208870,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-24,9791221934892,9.9,9.4,5.0,9.4,0.0,9.4,5.0
2026-09-24,9791221952919,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-24,9791221958423,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-24,9791223209790,24.9,23.66,5.0,23.66,0.0,23.66,5.0
2026-09-24,9791223800867,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-24,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-24,9791257800048,21.0,19.95,5.0,,0.0,19.95,5.0
2026-09-24,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-24,9788863113457,14.0,7.0,50.0,5.6,1.4,5.6,60.0
2026-09-24,2000000163475,,,,,,,
