snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-24,9788845278709,24,77
2026-09-24,9788863113556,35,66
2026-09-24,9788863113594,36,61
2026-09-24,9788815397225,31,47
2026-09-24,9788863115291,57,44
2026-09-24,9788836232567,14,43
2026-09-24,9788863113853,20,43
2026-09-24,9788863116151,26,41
2026-09-24,9788823536104,48,40
2026-09-24,9788845934018,51,39
2026-09-24,9788859825067,54,37
2026-09-24,9788807902499,64,37
2026-09-24,9788808998941,65,36
2026-09-24,9788838935688,23,35
2026-09-24,9788815389688,66,35
2026-09-24,9788815397232,46,33
2026-09-24,9788892140257,27,32
2026-09-24,9791256240357,16,31
2026-09-24,9788804783145,62,31
2026-09-24,9788834737934,72,29
2026-09-24,9788863114126,15,29
2026-09-24,9788834830710,73,28
2026-09-24,9788863114348,25,25
2026-09-24,9788858155325,77,24
2026-09-24,9788863114454,38,22
2026-09-24,9788863114775,79,22
2026-09-24,9788822783387,33,21
2026-09-24,9791223209790,12,21
2026-09-24,9788863116175,80,21
2026-09-24,9788806271978,30,21
2026-09-24,9788845277634,74,21
2026-09-24,9788828878919,70,20
2026-09-24,9788897109709,81,20
2026-09-24,9788863114096,21,19
2026-09-24,9791221115840,83,18
2026-09-24,9788822783967,68,16
2026-09-24,9791257800048,85,16
2026-09-24,9788467479393,86,15
2026-09-24,9788804778141,89,12
2026-09-24,9788829608959,13,12
2026-09-24,9788806216948,91,10
2026-09-24,9788806244583,63,9
2026-09-24,9788834864876,49,8
2026-09-24,9791221110623,11,8
2026-09-24,9788814027338,94,7
2026-09-24,9791259856265,10,7
2026-09-24,9791221934892,59,7
2026-09-24,9791223800867,28,7
2026-09-24,9788815290953,95,6
2026-09-24,9791221120066,40,6
2026-09-24,2000000163475,43,6
2026-09-24,9788828869269,9,2
2026-09-24,9788849561067,7,2
2026-09-24,9788863114928,18,2
2026-09-24,9788859826965,55,1
2026-09-24,9788830906471,3,1
2026-09-24,9788849553918,5,1
2026-09-24,9788820085582,32,1
2026-09-24,9788822665225,100,1
2026-09-24,9791259577115,1,0
2026-09-24,9788804817185,2,0
2026-09-24,9788807037351,4,-1
2026-09-24,9788817200097,8,-1
2026-09-24,9788820086626,6,-1
2026-09-24,9791259576521,42,-5
2026-09-24,9791259578839,29,-6
2026-09-24,9788829790135,19,-6
2026-09-24,9788820075453,47,-7
2026-09-24,9788863114409,37,-8
2026-09-24,9788891847560,22,-8
2026-09-24,9788808599056,17,-9
2026-09-24,9788850241910,52,-9
2026-09-24,9788800500876,61,-9
2026-09-24,9788807903793,93,-10
2026-09-24,9788804732495,87,-13
2026-09-24,9788863115130,39,-14
2026-09-24,9788834845783,34,-15
2026-09-24,9788828878469,69,-16
2026-09-24,9788858059661,53,-17
2026-09-24,9791221958423,84,-17
2026-09-24,9791221115550,82,-18
2026-09-24,9788804776895,88,-19
2026-09-24,9788804807278,90,-20
2026-09-24,9788863113457,78,-20
2026-09-24,9788817174459,67,-20
2026-09-24,9788820081560,99,-20
2026-09-24,9788804813163,44,-22
2026-09-24,9788815397249,97,-23
2026-09-24,9791221208870,41,-23
2026-09-24,9788838949968,50,-24
2026-09-24,9788804819967,45,-25
2026-09-24,9788863113495,56,-26
2026-09-24,9791221121209,58,-27
2026-09-24,9791221952919,60,-45
2026-09-24,9788817200646,98,-50
2026-09-24,9788858019672,76,-55
2026-09-24,9788845925023,75,-55
2026-09-24,9788815389817,96,-57
2026-09-24,9788829608492,71,-59
2026-09-24,9788807901874,92,-82
