snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-17,9788830465015,,,5.0,1,100
2026-09-17,9791221904673,,,5.0,2,99
2026-09-17,9791259577108,,,5.0,9,92
2026-09-17,2000000163475,,,,18,83
2026-09-17,9791221921250,,,5.0,20,81
2026-09-17,9788806221898,,,5.0,23,78
2026-09-17,9788806274146,,,5.0,24,77
2026-09-17,9788817197267,,,5.0,25,76
2026-09-17,9788828756323,,,5.0,28,73
2026-09-17,9788828219316,0.0,,5.0,16,73
2026-09-17,9788834866559,,,5.0,31,70
2026-09-17,9788834886724,,,5.0,32,69
2026-09-17,9788862891561,,,5.0,36,65
2026-09-17,9788865513729,,,5.0,37,64
2026-09-17,2000000163277,,,,21,64
2026-09-17,9788858045473,0.0,,5.0,35,64
2026-09-17,9791221120066,,,5.0,39,62
2026-09-17,9788815397218,0.0,,5.0,14,61
2026-09-17,9791255335672,,,5.0,43,58
2026-09-17,9788828878414,,,5.0,50,51
2026-09-17,9788830154988,,,5.0,51,50
2026-09-17,9788834875001,,,5.0,52,49
2026-09-17,9788859826965,,,5.0,56,45
2026-09-17,9788891446886,,,5.0,57,44
2026-09-17,9788891937209,,,5.0,58,43
2026-09-17,2000000163406,,,,22,42
2026-09-17,9791221120059,,,5.0,60,41
2026-09-17,9791221921243,,,5.0,62,39
2026-09-17,9791221924848,,,5.0,63,38
2026-09-17,9791224209195,,,5.0,64,37
2026-09-17,9788838949968,0.0,0.0,5.0,34,34
2026-09-17,2000000163468,,,,68,33
2026-09-17,9788822783967,0.0,0.0,5.0,26,32
2026-09-17,9788806243401,,,5.0,71,30
2026-09-17,9788806252946,,,5.0,72,29
2026-09-17,9788806271305,0.0,0.0,5.0,45,28
2026-09-17,9788806274252,,,5.0,74,27
2026-09-17,9788807175732,,,5.0,75,26
2026-09-17,9788823536104,0.0,0.0,5.0,11,25
2026-09-17,9788811608769,,,5.0,76,25
2026-09-17,9788813291891,,,5.0,77,24
2026-09-17,9788813389192,,,5.0,78,23
2026-09-17,9788804817680,0.0,,5.0,70,22
2026-09-17,9788828220138,,,5.0,80,21
2026-09-17,9788822786333,0.0,0.0,5.0,27,21
2026-09-17,9788828720966,,,5.0,81,20
2026-09-17,9788829711642,,,5.0,82,19
2026-09-17,9788831018869,,,5.0,84,17
2026-09-17,2000000163499,,,,13,15
2026-09-17,9788845916755,,,5.0,86,15
2026-09-17,9788828869269,0.0,0.0,5.0,8,14
2026-09-17,9788838625596,0.0,,5.0,53,13
2026-09-17,9788822788351,0.0,0.0,5.0,79,12
2026-09-17,9788845927867,0.0,0.0,5.0,87,11
2026-09-17,9788859825067,,,5.0,91,10
2026-09-17,9788883624551,,,5.0,93,8
2026-09-17,9788836232567,0.0,0.0,5.0,17,7
2026-09-17,9788891931306,,,5.0,94,7
2026-09-17,9788804776895,0.0,0.0,5.0,15,6
2026-09-17,9788822787149,0.0,0.0,5.0,49,5
2026-09-17,9788807037191,0.0,0.0,5.0,46,4
2026-09-17,9788836232635,0.0,0.0,5.0,33,4
2026-09-17,9788808599056,0.0,,5.0,47,4
2026-09-17,9791221924855,,,5.0,98,3
2026-09-17,9791221106381,0.0,0.0,5.0,96,3
2026-09-17,9791221107142,0.0,,5.0,97,3
2026-09-17,9791221110470,0.0,,5.0,38,3
2026-09-17,9791221955309,,,5.0,99,2
2026-09-17,9791259856265,0.0,0.0,5.0,5,0
2026-09-17,9791224206385,0.0,0.0,5.0,12,0
2026-09-17,9788836232321,0.0,,5.0,85,-1
2026-09-17,9788820086626,0.0,0.0,5.0,3,-2
2026-09-17,9788829790135,0.0,0.0,5.0,6,-2
2026-09-17,9788891847560,0.0,0.0,5.0,4,-2
2026-09-17,9788815397225,0.0,0.0,5.0,10,-4
2026-09-17,9788829608492,0.0,0.0,5.0,7,-4
2026-09-17,9788804813163,0.0,0.0,5.0,19,-4
2026-09-17,9791223209790,0.0,0.0,5.0,42,-6
2026-09-17,9788829608959,0.0,0.0,5.0,29,-13
2026-09-17,9788863114010,0.0,,50.0,92,-17
2026-09-17,9791221110623,0.0,0.0,5.0,59,-17
2026-09-17,9788845934018,0.0,0.0,5.0,88,-19
2026-09-17,9788830906471,0.0,0.0,5.0,30,-20
2026-09-17,9788822783387,0.0,0.0,5.0,48,-23
2026-09-17,9791221952919,0.0,0.0,5.0,41,-23
2026-09-17,9788806256340,0.0,0.0,5.0,73,-24
2026-09-17,9791221934892,0.0,0.0,5.0,40,-27
2026-09-17,2000000163130,,,,67,-29
2026-09-17,9788804776666,0.0,0.0,5.0,44,-30
2026-09-17,9788898963416,0.0,0.0,5.0,95,-36
2026-09-17,9788804807278,0.0,0.0,5.0,69,-37
2026-09-17,9788845925023,0.0,0.0,5.0,55,-38
2026-09-17,9788858059661,0.0,0.0,5.0,90,-38
2026-09-17,9788830905320,0.0,,5.0,83,-39
2026-09-17,9788838950353,0.0,0.0,5.0,54,-47
2026-09-17,9788850241910,0.0,0.0,5.0,89,-49
2026-09-17,9791281656383,0.0,0.0,5.0,66,-50
2026-09-17,9791221121209,0.0,,5.0,61,-50
2026-09-17,9791223286869,0.0,0.0,5.0,100,-54
2026-09-17,9791256240357,0.0,0.0,5.0,65,-57
