snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-17,9788830465015,1,100
2026-09-17,9791221904673,2,99
2026-09-17,9791259577108,9,92
2026-09-17,2000000163475,18,83
2026-09-17,9791221921250,20,81
2026-09-17,9788806221898,23,78
2026-09-17,9788806274146,24,77
2026-09-17,9788817197267,25,76
2026-09-17,9788828756323,28,73
2026-09-17,9788828219316,16,73
2026-09-17,9788834866559,31,70
2026-09-17,9788834886724,32,69
2026-09-17,9788862891561,36,65
2026-09-17,9788865513729,37,64
2026-09-17,2000000163277,21,64
2026-09-17,9788858045473,35,64
2026-09-17,9791221120066,39,62
2026-09-17,9788815397218,14,61
2026-09-17,9791255335672,43,58
2026-09-17,9788828878414,50,51
2026-09-17,9788830154988,51,50
2026-09-17,9788834875001,52,49
2026-09-17,9788859826965,56,45
2026-09-17,9788891446886,57,44
2026-09-17,9788891937209,58,43
2026-09-17,2000000163406,22,42
2026-09-17,9791221120059,60,41
2026-09-17,9791221921243,62,39
2026-09-17,9791221924848,63,38
2026-09-17,9791224209195,64,37
2026-09-17,9788838949968,34,34
2026-09-17,2000000163468,68,33
2026-09-17,9788822783967,26,32
2026-09-17,9788806243401,71,30
2026-09-17,9788806252946,72,29
2026-09-17,9788806271305,45,28
2026-09-17,9788806274252,74,27
2026-09-17,9788807175732,75,26
2026-09-17,9788823536104,11,25
2026-09-17,9788811608769,76,25
2026-09-17,9788813291891,77,24
2026-09-17,9788813389192,78,23
2026-09-17,9788804817680,70,22
2026-09-17,9788828220138,80,21
2026-09-17,9788822786333,27,21
2026-09-17,9788828720966,81,20
2026-09-17,9788829711642,82,19
2026-09-17,9788831018869,84,17
2026-09-17,2000000163499,13,15
2026-09-17,9788845916755,86,15
2026-09-17,9788828869269,8,14
2026-09-17,9788838625596,53,13
2026-09-17,9788822788351,79,12
2026-09-17,9788845927867,87,11
2026-09-17,9788859825067,91,10
2026-09-17,9788883624551,93,8
2026-09-17,9788836232567,17,7
2026-09-17,9788891931306,94,7
2026-09-17,9788804776895,15,6
2026-09-17,9788822787149,49,5
2026-09-17,9788807037191,46,4
2026-09-17,9788836232635,33,4
2026-09-17,9788808599056,47,4
2026-09-17,9791221924855,98,3
2026-09-17,9791221106381,96,3
2026-09-17,9791221107142,97,3
2026-09-17,9791221110470,38,3
2026-09-17,9791221955309,99,2
2026-09-17,9791259856265,5,0
2026-09-17,9791224206385,12,0
2026-09-17,9788836232321,85,-1
2026-09-17,9788820086626,3,-2
2026-09-17,9788829790135,6,-2
2026-09-17,9788891847560,4,-2
2026-09-17,9788815397225,10,-4
2026-09-17,9788829608492,7,-4
2026-09-17,9788804813163,19,-4
2026-09-17,9791223209790,42,-6
2026-09-17,9788829608959,29,-13
2026-09-17,9788863114010,92,-17
2026-09-17,9791221110623,59,-17
2026-09-17,9788845934018,88,-19
2026-09-17,9788830906471,30,-20
2026-09-17,9788822783387,48,-23
2026-09-17,9791221952919,41,-23
2026-09-17,9788806256340,73,-24
2026-09-17,9791221934892,40,-27
2026-09-17,2000000163130,67,-29
2026-09-17,9788804776666,44,-30
2026-09-17,9788898963416,95,-36
2026-09-17,9788804807278,69,-37
2026-09-17,9788845925023,55,-38
2026-09-17,9788858059661,90,-38
2026-09-17,9788830905320,83,-39
2026-09-17,9788838950353,54,-47
2026-09-17,9788850241910,89,-49
2026-09-17,9791281656383,66,-50
2026-09-17,9791221121209,61,-50
2026-09-17,9791223286869,100,-54
2026-09-17,9791256240357,65,-57
