snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-17,9791281656383,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-17,9791224206385,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-17,9791224209195,12.9,12.26,5.0,,0.0,12.26,5.0
2026-09-17,9791255335672,26.0,24.7,5.0,,0.0,24.7,5.0
2026-09-17,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-17,9791259577108,16.9,16.06,5.0,,0.0,16.06,5.0
2026-09-17,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-17,9788804776666,35.0,33.25,5.0,33.25,0.0,33.25,5.0
2026-09-17,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-17,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-17,9788804813163,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-17,9788804817680,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-17,9788806221898,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-17,9788806243401,7.0,6.65,5.0,,0.0,6.65,5.0
2026-09-17,9788806252946,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-17,9788806256340,22.5,21.38,5.0,21.38,0.0,21.38,5.0
2026-09-17,9788806271305,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-17,9788806274146,13.5,12.82,5.0,,0.0,12.82,5.0
2026-09-17,9788806274252,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-17,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-17,9788807175732,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-17,9788808599056,81.1,77.04,5.0,77.04,0.0,77.04,5.0
2026-09-17,9788811608769,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-17,9788813291891,38.0,36.1,5.0,,0.0,36.1,5.0
2026-09-17,9788813389192,70.0,66.5,5.0,,0.0,66.5,5.0
2026-09-17,9788815397218,45.0,42.75,5.0,42.75,0.0,42.75,5.0
2026-09-17,9788815397225,47.0,44.65,5.0,44.65,0.0,44.65,5.0
2026-09-17,9788817197267,19.9,18.9,5.0,,0.0,18.9,5.0
2026-09-17,9788820086626,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-17,9788822783387,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-17,9788822783967,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-17,9788822786333,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-17,9788822787149,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-17,9788822788351,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-17,9788823536104,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-17,9788828219316,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-17,9788828220138,18.9,17.96,5.0,,0.0,17.96,5.0
2026-09-17,9788828720966,14.9,14.16,5.0,,0.0,14.16,5.0
2026-09-17,9788828756323,5.9,5.6,5.0,,0.0,5.6,5.0
2026-09-17,9788828869269,72.0,68.4,5.0,68.4,0.0,68.4,5.0
2026-09-17,9788828878414,80.0,76.0,5.0,,0.0,76.0,5.0
2026-09-17,9788829608492,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-17,9788829608959,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-17,9788829711642,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-17,9788829790135,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-17,9788830154988,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-17,9788830465015,16.5,15.68,5.0,,0.0,15.68,5.0
2026-09-17,9788830905320,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-17,9788830906471,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-17,9788831018869,15.9,15.1,5.0,,0.0,15.1,5.0
2026-09-17,9788834866559,23.0,21.85,5.0,,0.0,21.85,5.0
2026-09-17,9788834875001,45.0,42.75,5.0,,0.0,42.75,5.0
2026-09-17,9788834886724,25.0,23.75,5.0,,0.0,23.75,5.0
2026-09-17,9788836232321,42.0,39.9,5.0,39.9,0.0,39.9,5.0
2026-09-17,9788836232567,58.0,55.1,5.0,55.1,0.0,55.1,5.0
2026-09-17,9788836232635,59.0,56.05,5.0,56.05,0.0,56.05,5.0
2026-09-17,9788838625596,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-17,9788838949968,28.0,26.6,5.0,26.6,0.0,26.6,5.0
2026-09-17,9788838950353,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-17,9788845916755,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-17,9788845925023,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-17,9788845927867,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-17,9788845934018,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-17,9788850241910,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-17,9788858045473,12.9,12.26,5.0,12.26,0.0,12.26,5.0
2026-09-17,9788858059661,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-17,9788859825067,32.0,30.4,5.0,,0.0,30.4,5.0
2026-09-17,9788859826965,45.0,42.75,5.0,,0.0,42.75,5.0
2026-09-17,9788862891561,23.5,22.32,5.0,,0.0,22.32,5.0
2026-09-17,9788863114010,12.0,6.0,50.0,6.0,0.0,6.0,50.0
2026-09-17,9788865513729,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-17,9788883624551,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-17,9788891446886,34.0,32.3,5.0,,0.0,32.3,5.0
2026-09-17,9788891847560,24.9,23.66,5.0,23.66,0.0,23.66,5.0
2026-09-17,9788891931306,33.0,31.35,5.0,,0.0,31.35,5.0
2026-09-17,9788891937209,37.0,35.15,5.0,,0.0,35.15,5.0
2026-09-17,9788898963416,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-17,9791221106381,51.0,48.45,5.0,48.45,0.0,48.45,5.0
2026-09-17,9791221107142,33.0,31.35,5.0,31.35,0.0,31.35,5.0
2026-09-17,9791221110470,48.0,45.6,5.0,45.6,0.0,45.6,5.0
2026-09-17,9791221110623,52.0,49.4,5.0,49.4,0.0,49.4,5.0
2026-09-17,9791221120059,55.0,52.25,5.0,,0.0,52.25,5.0
2026-09-17,9791221120066,54.0,51.3,5.0,,0.0,51.3,5.0
2026-09-17,9791221121209,57.0,54.15,5.0,54.15,0.0,54.15,5.0
2026-09-17,9791221904673,5.5,5.22,5.0,,0.0,5.22,5.0
2026-09-17,9791221921243,5.9,5.6,5.0,,0.0,5.6,5.0
2026-09-17,9791221921250,5.9,5.6,5.0,,0.0,5.6,5.0
2026-09-17,9791221924848,5.9,5.6,5.0,,0.0,5.6,5.0
2026-09-17,9791221924855,5.9,5.6,5.0,,0.0,5.6,5.0
2026-09-17,9791221934892,9.9,9.4,5.0,9.4,0.0,9.4,5.0
2026-09-17,9791221952919,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-17,9791221955309,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-17,9791223209790,24.9,23.66,5.0,23.66,0.0,23.66,5.0
2026-09-17,9791223286869,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-17,2000000163277,,,,,,,
2026-09-17,2000000163406,,,,,,,
2026-09-17,2000000163468,,,,,,,
2026-09-17,2000000163475,,,,,,,
2026-09-17,2000000163499,,,,,,,
2026-09-17,2000000163130,,,,,,,
