snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-15,9788815397225,,,5.0,2,99
2026-09-15,9788830906471,,,5.0,11,90
2026-09-15,9788829608492,,,5.0,14,87
2026-09-15,9788845924460,,,5.0,30,71
2026-09-15,9788849870312,,,5.0,31,70
2026-09-15,9788806256340,0.0,0.0,5.0,17,68
2026-09-15,2000000170596,,,,34,67
2026-09-15,9788834845783,,,5.0,39,62
2026-09-15,9788842935636,,,5.0,40,61
2026-09-15,9788822783974,0.0,0.0,5.0,37,61
2026-09-15,9791281656383,0.0,,5.0,16,58
2026-09-15,9788845410048,0.0,0.0,5.0,42,55
2026-09-15,9788808599056,,,5.0,51,50
2026-09-15,9788815298492,,,5.0,52,49
2026-09-15,9788807037139,0.0,0.0,5.0,19,49
2026-09-15,9788815383457,,,5.0,53,48
2026-09-15,9788845277634,0.0,,5.0,41,47
2026-09-15,9788815397232,,,5.0,54,47
2026-09-15,9788838950353,0.0,0.0,5.0,7,41
2026-09-15,9788829790135,0.0,0.0,5.0,3,40
2026-09-15,9788822799494,,,5.0,62,39
2026-09-15,9788822783967,0.0,0.0,5.0,58,39
2026-09-15,9788891847560,0.0,0.0,5.0,12,37
2026-09-15,9788806225186,0.0,0.0,5.0,23,36
2026-09-15,9788838625596,,,5.0,66,35
2026-09-15,9788807901874,0.0,0.0,5.0,10,34
2026-09-15,9788849553918,,,5.0,70,31
2026-09-15,9788849561067,,,5.0,71,30
2026-09-15,9788858019672,,,5.0,72,29
2026-09-15,9788863114126,0.0,0.0,50.0,44,28
2026-09-15,9788804729044,0.0,0.0,5.0,35,28
2026-09-15,9788807037191,0.0,0.0,5.0,50,26
2026-09-15,9788863115031,,,50.0,75,26
2026-09-15,9788863115390,,,50.0,76,25
2026-09-15,9788826610931,0.0,,5.0,28,25
2026-09-15,9788822788313,0.0,0.0,5.0,61,25
2026-09-15,9788822783929,0.0,0.0,5.0,57,23
2026-09-15,9791221106381,,,5.0,78,23
2026-09-15,9791223286869,0.0,0.0,5.0,46,23
2026-09-15,9791221110623,,,5.0,79,22
2026-09-15,9788804798675,0.0,0.0,5.0,36,22
2026-09-15,9791221952919,0.0,0.0,5.0,32,22
2026-09-15,9791221120981,,,5.0,80,21
2026-09-15,9788820084790,0.0,,5.0,55,21
2026-09-15,9788891846457,0.0,0.0,5.0,77,20
2026-09-15,9788836232567,0.0,0.0,5.0,9,20
2026-09-15,9791281724785,,,5.0,82,19
2026-09-15,9798219072109,,,5.0,83,18
2026-09-15,9788863113853,0.0,,50.0,74,18
2026-09-15,2000000163055,,,,84,17
2026-09-15,9791259576521,0.0,0.0,5.0,15,17
2026-09-15,9788836232598,0.0,0.0,5.0,29,17
2026-09-15,9788800750608,,,5.0,86,15
2026-09-15,9788804819967,0.0,0.0,5.0,22,14
2026-09-15,9788804771135,,,5.0,87,14
2026-09-15,9788836232635,0.0,0.0,5.0,5,13
2026-09-15,9788804800934,,,5.0,88,13
2026-09-15,2000000163499,,,,48,12
2026-09-15,9788822787149,0.0,0.0,5.0,38,11
2026-09-15,9788804815099,,,5.0,91,10
2026-09-15,9788845925023,0.0,0.0,5.0,21,10
2026-09-15,9788804817680,,,5.0,92,9
2026-09-15,9788804819974,,,5.0,93,8
2026-09-15,9791221934892,0.0,0.0,5.0,45,8
2026-09-15,9788806156756,,,5.0,94,7
2026-09-15,9788806242572,,,5.0,96,5
2026-09-15,9788806265175,,,5.0,98,3
2026-09-15,9791259856265,0.0,0.0,5.0,81,1
2026-09-15,9788822788276,0.0,0.0,5.0,27,1
2026-09-15,9788804776895,0.0,0.0,5.0,6,1
2026-09-15,9788820086626,0.0,0.0,5.0,1,1
2026-09-15,9791224206385,0.0,0.0,5.0,4,0
2026-09-15,9788806273361,0.0,0.0,5.0,18,-1
2026-09-15,9791259578839,0.0,0.0,5.0,8,-2
2026-09-15,9791256240357,0.0,0.0,5.0,13,-3
2026-09-15,9788822788252,0.0,,5.0,26,-7
2026-09-15,9788822783387,0.0,0.0,5.0,25,-7
2026-09-15,9788829608959,0.0,0.0,5.0,20,-9
2026-09-15,9788822762405,0.0,0.0,5.0,56,-16
2026-09-15,9788807037351,0.0,0.0,5.0,24,-19
2026-09-15,9788838935688,0.0,0.0,5.0,67,-20
2026-09-15,9788831743006,0.0,0.0,5.0,65,-20
2026-09-15,9788806262877,0.0,,5.0,97,-27
2026-09-15,9788804776666,0.0,0.0,5.0,49,-28
2026-09-15,9788822788283,0.0,0.0,5.0,59,-30
2026-09-15,9788822788290,0.0,0.0,5.0,60,-30
2026-09-15,9791221957266,0.0,0.0,5.0,33,-30
2026-09-15,9788830152526,0.0,0.0,5.0,64,-33
2026-09-15,9788850241910,0.0,0.0,5.0,43,-34
2026-09-15,9788823536104,0.0,0.0,5.0,63,-35
2026-09-15,9788804813163,0.0,,5.0,90,-37
2026-09-15,2000000163406,,,,47,-37
2026-09-15,9788863113594,0.0,10.0,50.0,73,-39
2026-09-15,9788845934018,0.0,0.0,5.0,69,-40
2026-09-15,2000000163277,,,,85,-46
2026-09-15,9788804807278,0.0,0.0,5.0,89,-54
2026-09-15,9788806216467,0.0,0.0,5.0,95,-58
2026-09-15,9788806272555,0.0,,5.0,99,-61
2026-09-15,9788806274504,0.0,0.0,5.0,100,-65
2026-09-15,9788838949968,0.0,0.0,5.0,68,-67
