snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-07,9791255721789,26,75
2026-09-07,9788806256340,31,70
2026-09-07,9788838949968,11,67
2026-09-07,9788842938347,40,61
2026-09-07,9788863113433,42,59
2026-09-07,9788863114287,43,58
2026-09-07,9788863115130,25,58
2026-09-07,9788822776921,37,55
2026-09-07,9791221934892,44,54
2026-09-07,9788845934018,49,52
2026-09-07,9791223286869,52,49
2026-09-07,9791224202325,53,48
2026-09-07,9791256240005,55,46
2026-09-07,9791223209790,51,34
2026-09-07,9788845934599,69,32
2026-09-07,9788863114348,50,32
2026-09-07,9788807897450,57,31
2026-09-07,9788845941061,70,31
2026-09-07,2000000163277,36,31
2026-09-07,9788863114928,30,30
2026-09-07,9788863113839,72,29
2026-09-07,9788822786333,65,28
2026-09-07,9788863114355,73,28
2026-09-07,9788863115567,74,27
2026-09-07,9788829608959,28,27
2026-09-07,9791224208402,77,24
2026-09-07,9788807037139,18,22
2026-09-07,9791259678829,81,20
2026-09-07,2000000163130,82,19
2026-09-07,2000000163253,83,18
2026-09-07,9791221952919,45,17
2026-09-07,9788820084738,84,17
2026-09-07,9788822762405,85,16
2026-09-07,9788822793645,86,15
2026-09-07,9788822773906,58,13
2026-09-07,9788845277634,88,13
2026-09-07,9791224205074,54,12
2026-09-07,9788863113532,90,11
2026-09-07,9788822783387,62,11
2026-09-07,9788822784926,10,11
2026-09-07,9788863113747,71,10
2026-09-07,9788804801832,14,10
2026-09-07,9788822783974,64,10
2026-09-07,9788863113570,91,10
2026-09-07,9788822783806,22,9
2026-09-07,9791224206385,5,9
2026-09-07,9788869800825,75,9
2026-09-07,9788863113853,92,9
2026-09-07,9788863114096,93,8
2026-09-07,9788822787149,17,8
2026-09-07,9788863114126,20,8
2026-09-07,9788863114362,94,7
2026-09-07,9788806271978,32,7
2026-09-07,9788822784896,47,6
2026-09-07,9788822794338,48,6
2026-09-07,9788869800689,96,5
2026-09-07,9788822780300,8,5
2026-09-07,9788822786432,2,4
2026-09-07,9788863113495,33,3
2026-09-07,9791223232323,98,3
2026-09-07,9788804776895,4,3
2026-09-07,9791224203988,99,2
2026-09-07,2000000163406,46,2
2026-09-07,9788863114409,95,2
2026-09-07,9788822773876,9,2
2026-09-07,9791224208389,100,1
2026-09-07,9788822780195,7,1
2026-09-07,9788820086626,1,0
2026-09-07,9788836232635,3,-1
2026-09-07,9788836232581,16,-1
2026-09-07,9788863113594,34,-1
2026-09-07,9791259576521,6,-2
2026-09-07,9788845925023,29,-2
2026-09-07,9788822773913,15,-3
2026-09-07,9788807037351,21,-4
2026-09-07,9788836232567,13,-4
2026-09-07,9788822796004,39,-4
2026-09-07,9788822784919,23,-5
2026-09-07,9791224208396,12,-7
2026-09-07,9788836232598,24,-8
2026-09-07,9788822776952,59,-8
2026-09-07,9791282577007,56,-9
2026-09-07,9788850241910,41,-9
2026-09-07,9788845926983,89,-9
2026-09-07,9788823536104,87,-10
2026-09-07,9788822783967,63,-11
2026-09-07,9788831743006,67,-11
2026-09-07,9791224203162,76,-13
2026-09-07,9788891847560,35,-13
2026-09-07,9788858059661,19,-16
2026-09-07,9788822787781,27,-17
2026-09-07,9788822780201,60,-19
2026-09-07,9788822783790,38,-19
2026-09-07,9788822796585,66,-24
2026-09-07,9788822781253,61,-32
2026-09-07,9788891846457,97,-36
2026-09-07,9791224208433,78,-41
2026-09-07,9791224209348,79,-41
2026-09-07,9788842935759,68,-42
2026-09-07,9791256240357,80,-57
