snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-20,9788804815921,6,95
2026-09-20,9788828220145,21,80
2026-09-20,9788829608935,10,74
2026-09-20,9788806240332,29,72
2026-09-20,9788807897450,8,70
2026-09-20,9788820085582,33,68
2026-09-20,9788823536104,14,64
2026-09-20,9791221115260,38,63
2026-09-20,2000000163475,28,58
2026-09-20,9788804761648,43,58
2026-09-20,9788804783497,44,57
2026-09-20,9788813380687,47,54
2026-09-20,9788817195232,50,51
2026-09-20,9788822775146,52,49
2026-09-20,9788858059661,26,47
2026-09-20,9788830465015,22,45
2026-09-20,9788823519107,56,45
2026-09-20,9788863114454,60,41
2026-09-20,9788807037191,13,41
2026-09-20,9791221952650,61,40
2026-09-20,9791224200451,63,38
2026-09-20,9788817174459,49,37
2026-09-20,9788858045473,37,35
2026-09-20,9788858019672,59,34
2026-09-20,9791281493032,67,34
2026-09-20,9788845934018,58,33
2026-09-20,9791221957266,12,32
2026-09-20,2000000163048,69,32
2026-09-20,2000000163642,71,30
2026-09-20,9788804749325,73,28
2026-09-20,9791221120066,11,28
2026-09-20,9788828869269,9,27
2026-09-20,9788804760498,74,27
2026-09-20,9788804798330,75,26
2026-09-20,9788822788351,54,25
2026-09-20,9788822762405,34,22
2026-09-20,9788845925023,4,20
2026-09-20,9788806270995,80,19
2026-09-20,2000000163444,70,19
2026-09-20,9788807900419,82,19
2026-09-20,9788806271305,31,14
2026-09-20,9788820075453,7,14
2026-09-20,9788820081454,88,13
2026-09-20,9788820083908,89,12
2026-09-20,9788813389192,48,12
2026-09-20,9788822787149,53,10
2026-09-20,9788822732163,91,10
2026-09-20,9788822742711,92,9
2026-09-20,9788804817680,45,6
2026-09-20,9788842938347,24,6
2026-09-20,9788845410048,36,6
2026-09-20,9791259576521,40,6
2026-09-20,9791281493049,68,5
2026-09-20,9788823535183,98,3
2026-09-20,9788804817185,1,2
2026-09-20,9791224206385,5,2
2026-09-20,9791259856265,3,2
2026-09-20,9788829608492,35,2
2026-09-20,9788804776895,18,0
2026-09-20,9788838949968,23,0
2026-09-20,9788806256340,30,0
2026-09-20,9791259578839,17,0
2026-09-20,9788845926983,25,0
2026-09-20,9788815397225,32,-1
2026-09-20,9788820086626,2,-1
2026-09-20,9791223209790,27,-1
2026-09-20,9788829790135,15,-2
2026-09-20,9788822796585,55,-3
2026-09-20,9791224202325,64,-3
2026-09-20,9788822796257,96,-4
2026-09-20,9788829705320,100,-6
2026-09-20,9788804807278,19,-8
2026-09-20,9788807037351,20,-8
2026-09-20,9788804806448,78,-9
2026-09-20,9788817201254,85,-9
2026-09-20,9788820077341,87,-10
2026-09-20,9788807903793,83,-11
2026-09-20,9788891847560,16,-14
2026-09-20,2000000163277,41,-15
2026-09-20,9788806244583,46,-17
2026-09-20,9788828878391,99,-18
2026-09-20,2000000163406,42,-20
2026-09-20,9788822797025,97,-20
2026-09-20,9791255335672,65,-22
2026-09-20,9788817196611,51,-24
2026-09-20,9788807175732,81,-25
2026-09-20,9788804801832,77,-27
2026-09-20,9791255721741,39,-31
2026-09-20,9788822788313,95,-34
2026-09-20,9788836232635,57,-35
2026-09-20,9788804798675,76,-40
2026-09-20,2000000163673,72,-43
2026-09-20,9788807970078,84,-45
2026-09-20,9788806216467,79,-47
2026-09-20,9788820077334,86,-51
2026-09-20,9788820084776,90,-55
2026-09-20,9791256240357,66,-57
2026-09-20,9791221952919,62,-58
2026-09-20,9788822783387,94,-61
2026-09-20,9788822776952,93,-61
