snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-20,9791281493049,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-20,9791255335672,26.0,24.7,5.0,24.7,0.0,24.7,5.0
2026-09-20,9791255721741,52.6,49.97,5.0,49.97,0.0,49.97,5.0
2026-09-20,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-20,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-20,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-20,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-20,9791281493032,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-20,9788804749325,22.9,21.76,5.0,,0.0,21.76,5.0
2026-09-20,9788804760498,22.9,21.76,5.0,,0.0,21.76,5.0
2026-09-20,9788804761648,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-20,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-20,9788804783497,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-20,9788804798330,15.5,14.72,5.0,,0.0,14.72,5.0
2026-09-20,9788804798675,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-20,9788804801832,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-20,9788804806448,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-20,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-20,9788804815921,23.0,21.85,5.0,,0.0,21.85,5.0
2026-09-20,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-20,9788804817680,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-20,9788806216467,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-20,9788806240332,12.5,11.88,5.0,,0.0,11.88,5.0
2026-09-20,9788806244583,14.0,13.3,5.0,13.3,0.0,13.3,5.0
2026-09-20,9788806256340,22.5,21.38,5.0,21.38,0.0,21.38,5.0
2026-09-20,9788806270995,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-20,9788806271305,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-20,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-20,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-20,9788807175732,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-20,9788807897450,13.0,12.35,5.0,12.35,0.0,12.35,5.0
