snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-22,9791259577115,1,100
2026-09-22,9791221109450,18,83
2026-09-22,9791221110623,19,81
2026-09-22,9788813380939,26,75
2026-09-22,9788818030396,27,74
2026-09-22,9788804813163,22,74
2026-09-22,9788845901843,34,67
2026-09-22,9788879599351,38,63
2026-09-22,9788806271978,23,60
2026-09-22,9791256081608,42,59
2026-09-22,9788863114409,37,58
2026-09-22,9788849553918,16,54
2026-09-22,9788836021833,32,51
2026-09-22,9788834947760,55,46
2026-09-22,9788822783387,50,45
2026-09-22,9788817200646,48,43
2026-09-22,9788845933950,58,43
2026-09-22,9788813389192,47,42
2026-09-22,9788892140257,59,42
2026-09-22,9791221114454,60,41
2026-09-22,9788823536104,14,37
2026-09-22,9788822787149,13,37
2026-09-22,9788849561067,35,36
2026-09-22,9791255751472,66,35
2026-09-22,9788808599056,12,35
2026-09-22,9788807901874,25,33
2026-09-22,9788806197599,71,30
2026-09-22,9791259576521,11,29
2026-09-22,9788836232598,56,29
2026-09-22,9788858059661,36,28
2026-09-22,9788807037375,46,25
2026-09-22,9791221952919,8,24
2026-09-22,9788820081157,78,23
2026-09-22,9788830154988,31,23
2026-09-22,9788829608959,30,23
2026-09-22,9788820081560,79,22
2026-09-22,9788822799555,80,21
2026-09-22,9788858045473,17,20
2026-09-22,9791221120059,40,20
2026-09-22,9788828878391,83,16
2026-09-22,9788833316659,86,15
2026-09-22,9791221958423,64,15
2026-09-22,9788836021871,87,14
2026-09-22,9788820084745,49,13
2026-09-22,9788807037351,7,13
2026-09-22,9788828869269,2,11
2026-09-22,9788829790135,15,9
2026-09-22,9788804806448,69,9
2026-09-22,9788828220138,28,7
2026-09-22,9788829608492,29,6
2026-09-22,9791221934892,10,6
2026-09-22,9788891931870,95,6
2026-09-22,9788838950353,33,5
2026-09-22,9788899793920,96,5
2026-09-22,9791221114461,98,3
2026-09-22,2000000163642,68,3
2026-09-22,9788830465015,54,1
2026-09-22,9791221121599,100,1
2026-09-22,9788826610931,52,0
2026-09-22,9791259856265,3,0
2026-09-22,9788859826910,94,0
2026-09-22,9788828878919,84,-1
2026-09-22,9788807037139,45,-2
2026-09-22,9788820086626,6,-2
2026-09-22,9788822783974,51,-2
2026-09-22,9788804817185,4,-3
2026-09-22,9788891847560,5,-3
2026-09-22,9791256240357,20,-3
2026-09-22,9788845925023,9,-4
2026-09-22,2000000163406,44,-7
2026-09-22,9788807037191,24,-13
2026-09-22,9788804776895,21,-13
2026-09-22,9791255721765,65,-14
2026-09-22,9788823536708,81,-17
2026-09-22,9788807900310,74,-17
2026-09-22,9788845923326,89,-18
2026-09-22,9791221121209,62,-18
2026-09-22,9788838950308,57,-19
2026-09-22,9791221120981,99,-19
2026-09-22,9788807900617,75,-24
2026-09-22,9788845912542,88,-25
2026-09-22,9788828878469,53,-25
2026-09-22,2000000163277,43,-25
2026-09-22,9791221957266,41,-29
2026-09-22,9791221109894,39,-29
2026-09-22,9788817188708,77,-31
2026-09-22,9788806225186,72,-32
2026-09-22,9791257910594,67,-32
2026-09-22,9791221208870,63,-32
2026-09-22,9788845941061,91,-44
2026-09-22,9791221120066,61,-50
2026-09-22,9788811016496,76,-50
2026-09-22,9788804807278,70,-51
2026-09-22,9788850241910,93,-54
2026-09-22,9791221110470,97,-59
2026-09-22,9788828220145,82,-61
2026-09-22,9788850223039,92,-64
2026-09-22,9788807897450,73,-65
2026-09-22,9788829608935,85,-71
2026-09-22,9788845934018,90,-81
