snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-22,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-22,9791257910594,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-22,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-22,9791259577115,16.9,16.06,5.0,,0.0,16.06,5.0
2026-09-22,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-22,9788804806448,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-22,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-22,9788804813163,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-22,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-22,9788806197599,38.0,36.1,5.0,,0.0,36.1,5.0
2026-09-22,9788806225186,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-22,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-22,9788807037139,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-22,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-22,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-22,9788807037375,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-22,9788807897450,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-22,9788807900310,7.0,6.65,5.0,6.65,0.0,6.65,5.0
2026-09-22,9788807900617,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-22,9788807901874,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-22,9788808599056,81.1,77.04,5.0,77.04,0.0,77.04,5.0
2026-09-22,9788811016496,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-22,9788813380939,28.0,26.6,5.0,,0.0,26.6,5.0
2026-09-22,9788813389192,70.0,66.5,5.0,66.5,0.0,66.5,5.0
2026-09-22,9788817188708,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-22,9788817200646,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-22,9788818030396,9.0,8.55,5.0,,0.0,8.55,5.0
2026-09-22,9788820081157,17.9,17.0,5.0,,0.0,17.0,5.0
2026-09-22,9788820081560,17.9,17.0,5.0,,0.0,17.0,5.0
2026-09-22,9788820084745,18.9,17.96,5.0,17.96,0.0,17.96,5.0
2026-09-22,9788820086626,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-22,9788822783387,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-22,9788822783974,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-22,9788822787149,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-22,9788822799555,9.9,9.4,5.0,,0.0,9.4,5.0
2026-09-22,9788823536104,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-22,9788823536708,19.0,15.2,20.0,15.2,0.0,15.2,20.0
2026-09-22,9788826610931,2.9,2.76,5.0,2.76,0.0,2.76,5.0
2026-09-22,9788828220138,18.9,17.96,5.0,17.96,0.0,17.96,5.0
2026-09-22,9788828220145,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-22,9788828869269,72.0,68.4,5.0,68.4,0.0,68.4,5.0
2026-09-22,9788828878391,60.0,57.0,5.0,57.0,0.0,57.0,5.0
2026-09-22,9788828878469,70.0,66.5,5.0,66.5,0.0,66.5,5.0
2026-09-22,9788828878919,30.0,28.5,5.0,28.5,0.0,28.5,5.0
2026-09-22,9788829608492,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-22,9788829608935,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-22,9788829608959,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-22,9788829790135,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-22,9788830154988,20.0,19.0,5.0,19.0,0.0,19.0,5.0
