snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-23,9788817200097,7,94
2026-09-23,9788865166444,22,79
2026-09-23,9788806271930,24,77
2026-09-23,9788849555202,28,73
2026-09-23,9788891905468,30,71
2026-09-23,9791223800355,34,67
2026-09-23,9791223800867,35,66
2026-09-23,9791255970521,36,65
2026-09-23,9788830906471,4,64
2026-09-23,9788849516791,42,59
2026-09-23,9788892134881,45,56
2026-09-23,9788834845783,19,50
2026-09-23,9788850241910,43,50
2026-09-23,9791221208870,18,45
2026-09-23,9788833570990,56,45
2026-09-23,9788834864876,57,44
2026-09-23,9788822796257,55,41
2026-09-23,9788845941009,62,39
2026-09-23,9788858019672,21,38
2026-09-23,9791221115550,64,37
2026-09-23,9788807900310,38,36
2026-09-23,9788815389817,39,34
2026-09-23,9791221121209,31,31
2026-09-23,9788804797036,71,30
2026-09-23,9788842935759,59,28
2026-09-23,9788804801832,50,27
2026-09-23,9788807900730,74,27
2026-09-23,9788845927867,61,26
2026-09-23,9788849561067,9,26
2026-09-23,9788811020592,76,25
2026-09-23,2000000163475,49,23
2026-09-23,9788863114126,44,22
2026-09-23,9788817070515,80,21
2026-09-23,9788820077730,82,19
2026-09-23,9791224206385,16,18
2026-09-23,9788820510077,83,18
2026-09-23,9788829608492,12,17
2026-09-23,9791221120066,46,15
2026-09-23,9788807901874,10,15
2026-09-23,9788820077723,81,12
2026-09-23,9788863113853,63,11
2026-09-23,9788822786333,86,10
2026-09-23,9788807903816,75,10
2026-09-23,9788849553918,6,10
2026-09-23,9788829705320,91,9
2026-09-23,9791221957266,32,9
2026-09-23,9788835173687,92,9
2026-09-23,9788863114409,29,8
2026-09-23,9788836021833,26,6
2026-09-23,9788829608959,25,5
2026-09-23,9788845407895,96,5
2026-09-23,9788808599056,8,4
2026-09-23,9788807037351,3,4
2026-09-23,9788829790135,13,2
2026-09-23,9788804817185,2,2
2026-09-23,9788820086626,5,1
2026-09-23,9788852224379,100,1
2026-09-23,9791259577115,1,0
2026-09-23,9788838935688,58,0
2026-09-23,9791223209790,33,0
2026-09-23,9788845926983,27,0
2026-09-23,9791221958423,67,-3
2026-09-23,2000000163406,48,-4
2026-09-23,9788822783387,54,-4
2026-09-23,9788828878919,90,-6
2026-09-23,9788828878391,89,-6
2026-09-23,9791221952919,15,-7
2026-09-23,9788845941269,99,-7
2026-09-23,9788845916250,98,-8
2026-09-23,9788828869269,11,-9
2026-09-23,9788807970078,53,-9
2026-09-23,9788891847560,14,-9
2026-09-23,9788845925023,20,-11
2026-09-23,9791259856265,17,-14
2026-09-23,9791259578839,23,-16
2026-09-23,9788845410048,60,-24
2026-09-23,9788815397218,77,-25
2026-09-23,9791221120059,65,-25
2026-09-23,2000000163277,68,-25
2026-09-23,9791259576521,37,-26
2026-09-23,9788806244583,72,-26
2026-09-23,9788804783497,70,-26
2026-09-23,9791256240357,47,-27
2026-09-23,9788806271978,51,-28
2026-09-23,9788822787149,41,-28
2026-09-23,9788807900815,52,-32
2026-09-23,9788815397225,78,-32
2026-09-23,9788822788351,87,-33
2026-09-23,9788836232635,93,-34
2026-09-23,9788822783974,85,-34
2026-09-23,9788820075453,40,-34
2026-09-23,9788822783967,84,-36
2026-09-23,9788815397232,79,-45
2026-09-23,9788804776895,69,-48
2026-09-23,9788807037191,73,-49
2026-09-23,9791221934892,66,-56
2026-09-23,9788845901843,97,-63
2026-09-23,9788842938347,94,-70
2026-09-23,9788823536104,88,-74
2026-09-23,9788845277634,95,-81
