snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-10,9791282577007,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-10,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-10,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-10,9791259678829,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-10,9788804773184,22.0,20.9,5.0,,0.0,20.9,5.0
2026-09-10,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-10,9788804801832,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-10,9788804807117,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-10,9788804807124,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-10,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-10,9788806216467,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-10,9788806256340,22.5,21.38,5.0,21.38,0.0,21.38,5.0
2026-09-10,9788806270995,19.5,18.52,5.0,,0.0,18.52,5.0
2026-09-10,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-10,9788806274504,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-10,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-10,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-10,9788807037375,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-10,9788807903793,9.5,9.02,5.0,,0.0,9.02,5.0
2026-09-10,9788807903816,11.0,10.45,5.0,,0.0,10.45,5.0
2026-09-10,9788807970078,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-10,9788808599049,49.7,47.22,5.0,47.22,0.0,47.22,5.0
2026-09-10,9788817106825,15.5,14.72,5.0,,0.0,14.72,5.0
2026-09-10,9788820083755,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-10,9788820084776,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-10,9788820084790,17.9,17.0,5.0,,0.0,17.0,5.0
2026-09-10,9788820086626,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-10,9788822773876,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822773913,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822773920,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822776921,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822776938,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822780171,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822780188,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822780195,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822780300,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822781253,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822781277,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822783387,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822783790,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822783806,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822783929,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822783967,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822783974,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822783998,3.9,3.7,5.0,,0.0,3.7,5.0
2026-09-10,9788822784902,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-10,9788822784919,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822784926,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822786333,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822786432,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-10,9788822787149,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-10,9788822787767,10.0,9.5,5.0,,0.0,9.5,5.0
2026-09-10,9788822787781,10.0,9.5,5.0,9.5,0.0,9.5,5.0
