snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-10,9788858056851,22,79
2026-09-10,9788822787767,37,64
2026-09-10,9788829790135,38,63
2026-09-10,9788852256240,41,60
2026-09-10,9788885345430,42,59
2026-09-10,9791224330226,46,55
2026-09-10,9788806256340,20,54
2026-09-10,9788807903816,48,53
2026-09-10,9788836232581,39,51
2026-09-10,9788845926983,21,47
2026-09-10,9788822783806,36,46
2026-09-10,9791224201441,56,45
2026-09-10,9791224203155,58,43
2026-09-10,9788891847560,19,43
2026-09-10,9791224208358,59,42
2026-09-10,9788804773184,64,37
2026-09-10,9788807037191,18,36
2026-09-10,9791224204022,45,32
2026-09-10,9788806216467,69,32
2026-09-10,9788806270995,70,31
2026-09-10,9788822784919,53,31
2026-09-10,9788807037375,71,30
2026-09-10,9788822787781,3,30
2026-09-10,9788850241910,40,29
2026-09-10,9788807903793,72,29
2026-09-10,9788822794338,30,29
2026-09-10,9788817106825,75,26
2026-09-10,9791282577007,31,25
2026-09-10,9788820084790,76,25
2026-09-10,9788822773920,32,24
2026-09-10,9788822796028,55,21
2026-09-10,9788823536104,14,20
2026-09-10,9788822783998,83,18
2026-09-10,9791224208433,60,18
2026-09-10,9788822784902,84,17
2026-09-10,9791259678829,61,17
2026-09-10,2000000163277,25,16
2026-09-10,9791224208396,17,14
2026-09-10,9788822773913,28,13
2026-09-10,9788828219316,89,12
2026-09-10,9788822783790,35,11
2026-09-10,9788830152526,90,11
2026-09-10,9788831028882,91,10
2026-09-10,9788822776938,33,9
2026-09-10,9788822796004,88,9
2026-09-10,9788806274504,26,8
2026-09-10,9788838950353,12,8
2026-09-10,9788838935688,94,7
2026-09-10,9788838949968,8,6
2026-09-10,9791223286869,44,6
2026-09-10,9788842829027,95,6
2026-09-10,9788822783387,34,5
2026-09-10,9788842836612,96,5
2026-09-10,9788804807124,67,4
2026-09-10,9788804807117,66,4
2026-09-10,9788822780300,13,4
2026-09-10,9788822780195,6,3
2026-09-10,9788822787149,54,3
2026-09-10,9788822780171,78,3
2026-09-10,2000000163130,62,3
2026-09-10,9788822783929,80,3
2026-09-10,9788807037351,11,2
2026-09-10,9788858045473,99,2
2026-09-10,9788808599049,74,2
2026-09-10,9788858059586,100,1
2026-09-10,9788836232598,10,1
2026-09-10,9788822786432,2,1
2026-09-10,9791224206385,4,0
2026-09-10,9788820086626,1,0
2026-09-10,9788804776895,5,0
2026-09-10,9791255721741,23,-1
2026-09-10,9788836232567,7,-1
2026-09-10,9788822793645,87,-1
2026-09-10,9791259578839,24,-1
2026-09-10,9788804801832,65,-2
2026-09-10,9788845927867,98,-2
2026-09-10,9788836232635,9,-2
2026-09-10,9788834621936,92,-3
2026-09-10,9791224205074,16,-4
2026-09-10,9788822780188,51,-8
2026-09-10,2000000163499,63,-9
2026-09-10,9788822784926,29,-11
2026-09-10,9791224201458,57,-11
2026-09-10,9791256240357,15,-13
2026-09-10,9788822773876,27,-19
2026-09-10,9788822786333,85,-20
2026-09-10,9791221934892,43,-22
2026-09-10,9788822781277,52,-22
2026-09-10,9788806271978,47,-22
2026-09-10,9788820084776,50,-23
2026-09-10,9788820083755,49,-23
2026-09-10,9788822788313,86,-28
2026-09-10,9788807970078,73,-36
2026-09-10,9788822776921,77,-40
2026-09-10,9788822783967,81,-41
2026-09-10,9788804807278,68,-44
2026-09-10,9788822783974,82,-47
2026-09-10,9788822781253,79,-51
2026-09-10,9788838929120,93,-57
2026-09-10,9788845410048,97,-82
