snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-18,9788807037696,11,90
2026-09-18,9788850241910,10,79
2026-09-18,9788828878469,28,73
2026-09-18,9788828220138,12,68
2026-09-18,9788893442411,42,59
2026-09-18,9788804784920,47,54
2026-09-18,9788820077334,35,53
2026-09-18,9791256240357,15,50
2026-09-18,9788845277634,39,49
2026-09-18,9788858333037,60,41
2026-09-18,9791221952919,1,40
2026-09-18,9788865210208,61,40
2026-09-18,9788822783387,9,39
2026-09-18,9788806216467,32,38
2026-09-18,9788804817185,6,36
2026-09-18,9788838950353,20,34
2026-09-18,9791259576521,30,32
2026-09-18,9788845923326,25,31
2026-09-18,9788858059661,59,31
2026-09-18,9788807902581,71,30
2026-09-18,9788804796749,48,30
2026-09-18,9788814174223,72,29
2026-09-18,9788807037191,17,29
2026-09-18,9788815389817,73,28
2026-09-18,9788815397249,74,27
2026-09-18,9788822787149,22,27
2026-09-18,9788822636775,75,26
2026-09-18,9788831743006,29,26
2026-09-18,9788806271978,50,25
2026-09-18,9788804815099,67,24
2026-09-18,9788822797025,77,24
2026-09-18,9788828777984,80,21
2026-09-18,9788828878391,81,20
2026-09-18,9788828878919,83,18
2026-09-18,9791221121209,44,17
2026-09-18,9788804776666,27,17
2026-09-18,9788822783974,21,16
2026-09-18,9788845925023,40,15
2026-09-18,9788806225186,8,15
2026-09-18,9788830154988,37,14
2026-09-18,9788822663870,76,14
2026-09-18,9788831498258,87,14
2026-09-18,9788834946992,89,12
2026-09-18,9788829608959,19,10
2026-09-18,9788830105874,86,10
2026-09-18,9788838949968,24,10
2026-09-18,9788838935688,58,9
2026-09-18,9788850247639,93,8
2026-09-18,9788850339747,94,7
2026-09-18,9788804820246,49,7
2026-09-18,9788863113587,96,5
2026-09-18,9788829790135,3,3
2026-09-18,9788892111134,98,3
2026-09-18,9788806270995,69,1
2026-09-18,9791259856265,4,1
2026-09-18,9788820086626,2,1
2026-09-18,9788829608492,7,0
2026-09-18,9788845906862,90,-1
2026-09-18,9788891847560,5,-1
2026-09-18,9788804776895,16,-1
2026-09-18,9791224206385,14,-2
2026-09-18,9788845926983,41,-2
2026-09-18,9788845934018,91,-3
2026-09-18,9788829711642,85,-3
2026-09-18,9791221106381,99,-3
2026-09-18,9788838625596,57,-4
2026-09-18,2000000163277,26,-5
2026-09-18,9788836232635,38,-5
2026-09-18,9788815397225,18,-8
2026-09-18,9788822783967,36,-10
2026-09-18,9788807037351,34,-10
2026-09-18,9788830465015,13,-12
2026-09-18,9791221957266,46,-13
2026-09-18,9788807037139,33,-14
2026-09-18,9788828869269,23,-15
2026-09-18,2000000163499,31,-18
2026-09-18,9791223209790,62,-20
2026-09-18,9788855059176,95,-21
2026-09-18,9788845934599,92,-23
2026-09-18,9791221115741,43,-23
2026-09-18,9788863113594,97,-24
2026-09-18,9788826610931,54,-26
2026-09-18,9788822786333,53,-26
2026-09-18,9781265144913,65,-26
2026-09-18,9788828878414,82,-32
2026-09-18,9791280495600,64,-37
2026-09-18,9788815397218,52,-38
2026-09-18,9788828219316,55,-39
2026-09-18,9788836232567,56,-39
2026-09-18,9791221110623,100,-41
2026-09-18,9788807901874,51,-41
2026-09-18,9791221904673,45,-43
2026-09-18,9791224205074,63,-44
2026-09-18,9788806274146,70,-46
2026-09-18,9788804819967,68,-46
2026-09-18,9788804813163,66,-47
2026-09-18,9788828756323,79,-51
2026-09-18,9788834845783,88,-65
2026-09-18,9788823536104,78,-67
2026-09-18,9788829608935,84,-76
