snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-18,9791280495600,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-18,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-18,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-18,9781265144913,71.99,68.39,5.0,68.39,0.0,68.39,5.0
2026-09-18,9788804776666,35.0,33.25,5.0,33.25,0.0,33.25,5.0
2026-09-18,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-18,9788804784920,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-18,9788804796749,11.5,10.92,5.0,10.92,0.0,10.92,5.0
2026-09-18,9788804813163,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-18,9788804815099,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-18,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-18,9788804819967,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-18,9788804820246,23.0,21.85,5.0,21.85,0.0,21.85,5.0
2026-09-18,9788806216467,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-18,9788806225186,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-18,9788806270995,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-18,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-18,9788806274146,13.5,12.82,5.0,12.82,0.0,12.82,5.0
2026-09-18,9788807037139,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-18,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-18,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-18,9788807037696,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-18,9788807901874,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-18,9788807902581,8.5,8.08,5.0,,0.0,8.08,5.0
