snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-14,9788804806486,13,88
2026-09-14,9788804806493,14,87
2026-09-14,9788804806509,15,86
2026-09-14,9788804806516,16,85
2026-09-14,9791224203568,19,82
2026-09-14,9788804806462,24,77
2026-09-14,9788804806479,25,76
2026-09-14,9788823536104,28,72
2026-09-14,9791256240357,10,70
2026-09-14,9788804776895,7,68
2026-09-14,9788804750048,34,67
2026-09-14,9791221957266,3,64
2026-09-14,9788806272555,38,63
2026-09-14,9788820075453,40,61
2026-09-14,9788804819967,36,61
2026-09-14,9788828209140,41,60
2026-09-14,9791282435147,20,59
2026-09-14,9788828781424,42,59
2026-09-14,9788804806448,22,58
2026-09-14,9788804806455,23,58
2026-09-14,9788830905320,44,57
2026-09-14,9788848330190,49,52
2026-09-14,9788850337941,50,51
2026-09-14,9788858048382,51,50
2026-09-14,9788806216467,37,46
2026-09-14,9788829608935,8,46
2026-09-14,9788829608959,11,44
2026-09-14,2000000170473,61,40
2026-09-14,9791259679215,33,38
2026-09-14,9788804769835,64,37
2026-09-14,9788804776666,21,36
2026-09-14,9788804772118,65,36
2026-09-14,9788804780373,66,35
2026-09-14,9788806220457,67,34
2026-09-14,9788806228989,68,33
2026-09-14,9788806244668,69,32
2026-09-14,9788806262877,70,31
2026-09-14,2000000170732,62,31
2026-09-14,9788806267643,71,30
2026-09-14,9788806269968,72,29
2026-09-14,9791221954456,55,25
2026-09-14,9788838935688,47,25
2026-09-14,9788807903816,26,22
2026-09-14,9788807970078,39,22
2026-09-14,9788807900792,80,21
2026-09-14,9788807970177,83,18
2026-09-14,9788817148061,84,17
2026-09-14,9788817162722,85,16
2026-09-14,9788836232635,18,14
2026-09-14,9788817194648,87,14
2026-09-14,9791280495600,59,13
2026-09-14,9788806271305,73,13
2026-09-14,9791221934892,53,13
2026-09-14,9788820077334,88,13
2026-09-14,9788822636799,89,12
2026-09-14,9788807092176,77,11
2026-09-14,9788822663870,90,11
2026-09-14,9788807900525,79,11
2026-09-14,9788807037351,5,10
2026-09-14,9788842938347,30,10
2026-09-14,9788822796257,92,9
2026-09-14,9788807900815,81,9
2026-09-14,9788828785026,93,8
2026-09-14,9788806273361,17,8
2026-09-14,9788829936717,95,6
2026-09-14,9788817174459,86,6
2026-09-14,9788830105874,96,5
2026-09-14,9788817201254,12,5
2026-09-14,9791224206385,4,4
2026-09-14,9788830138056,97,4
2026-09-14,9788845925023,31,3
2026-09-14,9788838949968,1,3
2026-09-14,9788850241910,9,3
2026-09-14,9791259578839,6,3
2026-09-14,9788833572635,99,2
2026-09-14,9788834731055,100,1
2026-09-14,9788820086626,2,-1
2026-09-14,9788806271510,74,-10
2026-09-14,9788817183499,27,-11
2026-09-14,9788804807278,35,-11
2026-09-14,9788831743006,45,-14
2026-09-14,9788838950353,48,-15
2026-09-14,9788807897450,78,-18
2026-09-14,9788836232567,29,-18
2026-09-14,9788804729044,63,-22
2026-09-14,9788806271978,75,-28
2026-09-14,9791259576521,32,-30
2026-09-14,9788836232598,46,-31
2026-09-14,9791223281673,56,-32
2026-09-14,9788829790135,43,-33
2026-09-14,9791221952919,54,-33
2026-09-14,9791255721796,58,-35
2026-09-14,9788807970160,82,-37
2026-09-14,9788822788351,91,-41
2026-09-14,9788831028882,98,-41
2026-09-14,9788858059661,52,-47
2026-09-14,9791224205074,57,-51
2026-09-14,9788829705320,94,-52
2026-09-14,2000000163499,60,-53
2026-09-14,9788807037191,76,-73
