snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-14,9788804806486,,,5.0,13,88
2026-09-14,9788804806493,,,5.0,14,87
2026-09-14,9788804806509,,,5.0,15,86
2026-09-14,9788804806516,,,5.0,16,85
2026-09-14,9791224203568,,,5.0,19,82
2026-09-14,9788804806462,,,5.0,24,77
2026-09-14,9788804806479,,,5.0,25,76
2026-09-14,9788823536104,0.0,0.0,5.0,28,72
2026-09-14,9791256240357,0.0,0.0,5.0,10,70
2026-09-14,9788804776895,0.0,0.0,5.0,7,68
2026-09-14,9788804750048,,,5.0,34,67
2026-09-14,9791221957266,0.0,0.0,5.0,3,64
2026-09-14,9788806272555,,,5.0,38,63
2026-09-14,9788820075453,,,5.0,40,61
2026-09-14,9788804819967,0.0,0.0,5.0,36,61
2026-09-14,9788828209140,,,5.0,41,60
2026-09-14,9791282435147,0.0,,5.0,20,59
2026-09-14,9788828781424,,,5.0,42,59
2026-09-14,9788804806448,0.0,,5.0,22,58
2026-09-14,9788804806455,0.0,0.0,5.0,23,58
2026-09-14,9788830905320,,,5.0,44,57
2026-09-14,9788848330190,,,5.0,49,52
2026-09-14,9788850337941,,,5.0,50,51
2026-09-14,9788858048382,,,50.0,51,50
2026-09-14,9788806216467,0.0,0.0,5.0,37,46
2026-09-14,9788829608935,0.0,0.0,5.0,8,46
2026-09-14,9788829608959,0.0,0.0,5.0,11,44
2026-09-14,2000000170473,,,,61,40
2026-09-14,9791259679215,0.0,,5.0,33,38
2026-09-14,9788804769835,,,5.0,64,37
2026-09-14,9788804776666,0.0,,5.0,21,36
2026-09-14,9788804772118,,,5.0,65,36
2026-09-14,9788804780373,,,5.0,66,35
2026-09-14,9788806220457,,,5.0,67,34
2026-09-14,9788806228989,,,5.0,68,33
2026-09-14,9788806244668,,,5.0,69,32
2026-09-14,9788806262877,,,5.0,70,31
2026-09-14,2000000170732,,,,62,31
2026-09-14,9788806267643,,,5.0,71,30
2026-09-14,9788806269968,,,5.0,72,29
2026-09-14,9791221954456,0.0,,5.0,55,25
2026-09-14,9788838935688,0.0,0.0,5.0,47,25
2026-09-14,9788807903816,0.0,,5.0,26,22
2026-09-14,9788807970078,0.0,0.0,5.0,39,22
2026-09-14,9788807900792,,,5.0,80,21
2026-09-14,9788807970177,,,5.0,83,18
2026-09-14,9788817148061,,,5.0,84,17
2026-09-14,9788817162722,,,5.0,85,16
2026-09-14,9788836232635,0.0,0.0,5.0,18,14
2026-09-14,9788817194648,,,5.0,87,14
2026-09-14,9791280495600,0.0,,5.0,59,13
2026-09-14,9788806271305,0.0,0.0,5.0,73,13
2026-09-14,9791221934892,0.0,0.0,5.0,53,13
2026-09-14,9788820077334,,,5.0,88,13
2026-09-14,9788822636799,,,5.0,89,12
2026-09-14,9788807092176,0.0,,5.0,77,11
2026-09-14,9788822663870,,,5.0,90,11
2026-09-14,9788807900525,0.0,,5.0,79,11
2026-09-14,9788807037351,0.0,0.0,5.0,5,10
2026-09-14,9788842938347,0.0,,5.0,30,10
2026-09-14,9788822796257,,,5.0,92,9
2026-09-14,9788807900815,0.0,,5.0,81,9
2026-09-14,9788828785026,,,5.0,93,8
2026-09-14,9788806273361,0.0,0.0,5.0,17,8
2026-09-14,9788829936717,,,5.0,95,6
2026-09-14,9788817174459,0.0,0.0,5.0,86,6
2026-09-14,9788830105874,,,5.0,96,5
2026-09-14,9788817201254,0.0,0.0,5.0,12,5
2026-09-14,9791224206385,0.0,0.0,5.0,4,4
2026-09-14,9788830138056,,,5.0,97,4
2026-09-14,9788845925023,0.0,0.0,5.0,31,3
2026-09-14,9788838949968,0.0,0.0,5.0,1,3
2026-09-14,9788850241910,0.0,0.0,5.0,9,3
2026-09-14,9791259578839,0.0,0.0,5.0,6,3
2026-09-14,9788833572635,,,5.0,99,2
2026-09-14,9788834731055,,,5.0,100,1
2026-09-14,9788820086626,0.0,0.0,5.0,2,-1
2026-09-14,9788806271510,0.0,,5.0,74,-10
2026-09-14,9788817183499,0.0,0.0,5.0,27,-11
2026-09-14,9788804807278,0.0,0.0,5.0,35,-11
2026-09-14,9788831743006,0.0,0.0,5.0,45,-14
2026-09-14,9788838950353,0.0,0.0,5.0,48,-15
2026-09-14,9788807897450,0.0,0.0,5.0,78,-18
2026-09-14,9788836232567,0.0,0.0,5.0,29,-18
2026-09-14,9788804729044,0.0,0.0,5.0,63,-22
2026-09-14,9788806271978,0.0,0.0,5.0,75,-28
2026-09-14,9791259576521,0.0,0.0,5.0,32,-30
2026-09-14,9788836232598,0.0,0.0,5.0,46,-31
2026-09-14,9791223281673,0.0,0.0,5.0,56,-32
2026-09-14,9788829790135,0.0,0.0,5.0,43,-33
2026-09-14,9791221952919,0.0,0.0,5.0,54,-33
2026-09-14,9791255721796,0.0,,5.0,58,-35
2026-09-14,9788807970160,0.0,,5.0,82,-37
2026-09-14,9788822788351,0.0,0.0,5.0,91,-41
2026-09-14,9788831028882,0.0,0.0,5.0,98,-41
2026-09-14,9788858059661,0.0,0.0,5.0,52,-47
2026-09-14,9791224205074,0.0,0.0,5.0,57,-51
2026-09-14,9788829705320,0.0,0.0,5.0,94,-52
2026-09-14,2000000163499,,,,60,-53
2026-09-14,9788807037191,0.0,0.0,5.0,76,-73
