snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-14,9791282435147,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-14,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-14,9791259679215,30.0,28.5,5.0,28.5,0.0,28.5,5.0
2026-09-14,9791280495600,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-14,9788804729044,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-14,9788804750048,14.0,13.3,5.0,,0.0,13.3,5.0
2026-09-14,9788804769835,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-14,9788804772118,13.5,12.82,5.0,,0.0,12.82,5.0
2026-09-14,9788804776666,35.0,33.25,5.0,33.25,0.0,33.25,5.0
2026-09-14,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-14,9788804780373,15.5,14.72,5.0,,0.0,14.72,5.0
2026-09-14,9788804806448,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-14,9788804806455,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-14,9788804806462,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-14,9788804806479,16.0,15.2,5.0,,0.0,15.2,5.0
2026-09-14,9788804806486,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-14,9788804806493,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-14,9788804806509,18.0,17.1,5.0,,0.0,17.1,5.0
2026-09-14,9788804806516,20.0,19.0,5.0,,0.0,19.0,5.0
2026-09-14,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-14,9788804819967,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-14,9788806216467,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-14,9788806220457,13.5,12.82,5.0,,0.0,12.82,5.0
2026-09-14,9788806228989,12.0,11.4,5.0,,0.0,11.4,5.0
2026-09-14,9788806244668,14.0,13.3,5.0,,0.0,13.3,5.0
2026-09-14,9788806262877,17.0,16.15,5.0,,0.0,16.15,5.0
2026-09-14,9788806267643,12.5,11.88,5.0,,0.0,11.88,5.0
2026-09-14,9788806269968,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-14,9788806271305,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-14,9788806271510,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-14,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-14,9788806272555,17.0,16.15,5.0,,0.0,16.15,5.0
2026-09-14,9788806273361,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-14,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-14,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-14,9788807092176,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-14,9788807897450,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-14,9788807900525,8.5,8.08,5.0,8.08,0.0,8.08,5.0
2026-09-14,9788807900792,17.0,16.15,5.0,,0.0,16.15,5.0
2026-09-14,9788807900815,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-14,9788807903816,11.0,10.45,5.0,10.45,0.0,10.45,5.0
2026-09-14,9788807970078,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-14,9788807970160,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-14,9788807970177,19.0,18.05,5.0,,0.0,18.05,5.0
2026-09-14,9788817148061,13.5,12.82,5.0,,0.0,12.82,5.0
