snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-08,9788820084776,,,5.0,12,89
2026-09-08,9788838950353,,,5.0,15,86
2026-09-08,9791259578839,,,5.0,17,84
2026-09-08,9788807037191,,,5.0,20,81
2026-09-08,9788820083755,,,5.0,21,80
2026-09-08,9791256240357,0.0,0.0,5.0,6,74
2026-09-08,9788829608935,,,5.0,28,73
2026-09-08,9788823536104,0.0,0.0,5.0,14,73
2026-09-08,9788845410048,,,5.0,38,63
2026-09-08,9791255721741,,,5.0,40,61
2026-09-08,9788804807278,0.0,,5.0,26,60
2026-09-08,9788822762405,0.0,,5.0,25,60
2026-09-08,9788838929120,0.0,,5.0,36,58
2026-09-08,9788807970078,0.0,,5.0,37,53
2026-09-08,9788822786449,,,5.0,48,53
2026-09-08,9788817196611,,,5.0,48,53
2026-09-08,9788822783813,,,5.0,50,51
2026-09-08,9788822788351,,,5.0,53,48
2026-09-08,9791224205074,0.0,0.0,5.0,7,47
2026-09-08,9788807901874,0.0,,5.0,42,47
2026-09-08,9788800500876,,,5.0,55,46
2026-09-08,9788804798675,,,5.0,62,39
2026-09-08,9788806271510,,,5.0,64,37
2026-09-08,9788822781833,,,5.0,65,36
2026-09-08,9788860555885,,,50.0,71,30
2026-09-08,9788822793805,,,5.0,72,29
2026-09-08,9788822783974,0.0,0.0,5.0,35,29
2026-09-08,9788881586387,,,50.0,73,28
2026-09-08,9788885345362,,,50.0,74,27
2026-09-08,9788822796585,0.0,0.0,5.0,41,25
2026-09-08,9791224204022,,,5.0,77,24
2026-09-08,9788822783967,0.0,0.0,5.0,40,23
2026-09-08,9788822783387,0.0,0.0,5.0,39,23
2026-09-08,9791282435147,,,5.0,79,22
2026-09-08,9791223286869,0.0,,5.0,31,21
2026-09-08,9788845926983,0.0,0.0,5.0,68,21
2026-09-08,9791224204008,0.0,,5.0,44,20
2026-09-08,9788804732495,,,5.0,81,20
2026-09-08,9788804807117,,,5.0,82,19
2026-09-08,9788804807124,,,5.0,83,18
2026-09-08,9788804807131,,,5.0,84,17
2026-09-08,9788804819967,,,5.0,85,16
2026-09-08,9788806271305,,,5.0,86,15
2026-09-08,2000000163499,,,,54,14
2026-09-08,9788807092176,,,5.0,88,13
2026-09-08,9788845941061,0.0,,5.0,57,13
2026-09-08,9788822773920,0.0,,5.0,38,12
2026-09-08,9788807900310,,,5.0,89,12
2026-09-08,9788807900815,,,5.0,90,11
2026-09-08,9788806266448,,,5.0,92,9
2026-09-08,9788822780171,,,5.0,92,9
2026-09-08,9788836232567,0.0,0.0,5.0,5,8
2026-09-08,9788807037351,0.0,0.0,5.0,13,8
2026-09-08,9788842935759,0.0,0.0,5.0,61,7
2026-09-08,9788822788283,,,5.0,94,7
2026-09-08,9788822788290,,,5.0,95,6
2026-09-08,9788807900143,,,5.0,96,5
2026-09-08,9788845925023,0.0,0.0,5.0,24,5
2026-09-08,9788822787781,0.0,0.0,5.0,22,5
2026-09-08,9791221934892,0.0,0.0,5.0,39,5
2026-09-08,9788806271978,0.0,0.0,5.0,28,4
2026-09-08,9788829705320,,,5.0,98,3
2026-09-08,9791259678829,0.0,,5.0,78,3
2026-09-08,9791224206385,0.0,0.0,5.0,3,2
2026-09-08,9791259576521,0.0,0.0,5.0,4,2
2026-09-08,9788831780988,,,5.0,99,2
2026-09-08,9788834943274,,,5.0,100,1
2026-09-08,9788831743006,0.0,0.0,5.0,66,1
2026-09-08,9788836232598,0.0,0.0,5.0,23,1
2026-09-08,9788822775139,,,5.0,100,1
2026-09-08,9788838949968,0.0,0.0,5.0,11,0
2026-09-08,9788822786432,0.0,0.0,5.0,2,0
2026-09-08,9791224208396,0.0,0.0,5.0,12,0
2026-09-08,9788820086626,0.0,0.0,5.0,1,0
2026-09-08,9788806256340,0.0,,5.0,32,-1
2026-09-08,9788822794338,0.0,0.0,5.0,49,-1
2026-09-08,9788822773876,0.0,0.0,5.0,10,-1
2026-09-08,9788836232635,0.0,0.0,5.0,7,-4
2026-09-08,9788804776895,0.0,0.0,5.0,8,-4
2026-09-08,2000000163277,,,,41,-5
2026-09-08,9788822784926,0.0,0.0,5.0,16,-6
2026-09-08,9788822780195,0.0,0.0,5.0,13,-6
2026-09-08,9788822787149,0.0,0.0,5.0,23,-6
2026-09-08,9788822783790,0.0,0.0,5.0,46,-8
2026-09-08,9788822781253,0.0,0.0,5.0,70,-9
2026-09-08,9788822776952,0.0,0.0,5.0,69,-10
2026-09-08,9788822776938,0.0,,5.0,31,-11
2026-09-08,9788822780300,0.0,0.0,5.0,22,-14
2026-09-08,9788836232581,0.0,0.0,5.0,32,-16
2026-09-08,9788891847560,0.0,0.0,5.0,51,-16
2026-09-08,9788822773913,0.0,0.0,5.0,33,-18
2026-09-08,2000000163406,,,,64,-18
2026-09-08,9788808599049,0.0,,5.0,91,-21
2026-09-08,9788822780188,0.0,,5.0,93,-21
2026-09-08,9791224202325,0.0,,5.0,76,-23
2026-09-08,9791223209790,0.0,0.0,5.0,75,-24
2026-09-08,9788845934018,0.0,,5.0,75,-26
2026-09-08,9791255721789,0.0,,5.0,53,-27
2026-09-08,9788829608959,0.0,0.0,5.0,55,-27
2026-09-08,9788822784919,0.0,0.0,5.0,51,-28
2026-09-08,9788850241910,0.0,0.0,5.0,69,-28
2026-09-08,9788807897450,0.0,0.0,5.0,95,-38
2026-09-08,9788858059661,0.0,0.0,5.0,63,-44
2026-09-08,9788863113495,0.0,10.0,50.0,78,-45
2026-09-08,9788804801832,0.0,0.0,5.0,63,-49
2026-09-08,9788807037139,0.0,0.0,5.0,68,-50
2026-09-08,9788863114126,0.0,10.0,50.0,72,-52
2026-09-08,9788822796004,0.0,0.0,5.0,97,-58
