snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-08,9788820084776,12,89
2026-09-08,9788838950353,15,86
2026-09-08,9791259578839,17,84
2026-09-08,9788807037191,20,81
2026-09-08,9788820083755,21,80
2026-09-08,9791256240357,6,74
2026-09-08,9788829608935,28,73
2026-09-08,9788823536104,14,73
2026-09-08,9788845410048,38,63
2026-09-08,9791255721741,40,61
2026-09-08,9788804807278,26,60
2026-09-08,9788822762405,25,60
2026-09-08,9788838929120,36,58
2026-09-08,9788807970078,37,53
2026-09-08,9788822786449,48,53
2026-09-08,9788817196611,48,53
2026-09-08,9788822783813,50,51
2026-09-08,9788822788351,53,48
2026-09-08,9791224205074,7,47
2026-09-08,9788807901874,42,47
2026-09-08,9788800500876,55,46
2026-09-08,9788804798675,62,39
2026-09-08,9788806271510,64,37
2026-09-08,9788822781833,65,36
2026-09-08,9788860555885,71,30
2026-09-08,9788822793805,72,29
2026-09-08,9788822783974,35,29
2026-09-08,9788881586387,73,28
2026-09-08,9788885345362,74,27
2026-09-08,9788822796585,41,25
2026-09-08,9791224204022,77,24
2026-09-08,9788822783967,40,23
2026-09-08,9788822783387,39,23
2026-09-08,9791282435147,79,22
2026-09-08,9791223286869,31,21
2026-09-08,9788845926983,68,21
2026-09-08,9791224204008,44,20
2026-09-08,9788804732495,81,20
2026-09-08,9788804807117,82,19
2026-09-08,9788804807124,83,18
2026-09-08,9788804807131,84,17
2026-09-08,9788804819967,85,16
2026-09-08,9788806271305,86,15
2026-09-08,2000000163499,54,14
2026-09-08,9788807092176,88,13
2026-09-08,9788845941061,57,13
2026-09-08,9788822773920,38,12
2026-09-08,9788807900310,89,12
2026-09-08,9788807900815,90,11
2026-09-08,9788806266448,92,9
2026-09-08,9788822780171,92,9
2026-09-08,9788836232567,5,8
2026-09-08,9788807037351,13,8
2026-09-08,9788842935759,61,7
2026-09-08,9788822788283,94,7
2026-09-08,9788822788290,95,6
2026-09-08,9788807900143,96,5
2026-09-08,9788845925023,24,5
2026-09-08,9788822787781,22,5
2026-09-08,9791221934892,39,5
2026-09-08,9788806271978,28,4
2026-09-08,9788829705320,98,3
2026-09-08,9791259678829,78,3
2026-09-08,9791224206385,3,2
2026-09-08,9791259576521,4,2
2026-09-08,9788831780988,99,2
2026-09-08,9788834943274,100,1
2026-09-08,9788831743006,66,1
2026-09-08,9788836232598,23,1
2026-09-08,9788822775139,100,1
2026-09-08,9788838949968,11,0
2026-09-08,9788822786432,2,0
2026-09-08,9791224208396,12,0
2026-09-08,9788820086626,1,0
2026-09-08,9788806256340,32,-1
2026-09-08,9788822794338,49,-1
2026-09-08,9788822773876,10,-1
2026-09-08,9788836232635,7,-4
2026-09-08,9788804776895,8,-4
2026-09-08,2000000163277,41,-5
2026-09-08,9788822784926,16,-6
2026-09-08,9788822780195,13,-6
2026-09-08,9788822787149,23,-6
2026-09-08,9788822783790,46,-8
2026-09-08,9788822781253,70,-9
2026-09-08,9788822776952,69,-10
2026-09-08,9788822776938,31,-11
2026-09-08,9788822780300,22,-14
2026-09-08,9788836232581,32,-16
2026-09-08,9788891847560,51,-16
2026-09-08,9788822773913,33,-18
2026-09-08,2000000163406,64,-18
2026-09-08,9788808599049,91,-21
2026-09-08,9788822780188,93,-21
2026-09-08,9791224202325,76,-23
2026-09-08,9791223209790,75,-24
2026-09-08,9788845934018,75,-26
2026-09-08,9791255721789,53,-27
2026-09-08,9788829608959,55,-27
2026-09-08,9788822784919,51,-28
2026-09-08,9788850241910,69,-28
2026-09-08,9788807897450,95,-38
2026-09-08,9788858059661,63,-44
2026-09-08,9788863113495,78,-45
2026-09-08,9788804801832,63,-49
2026-09-08,9788807037139,68,-50
2026-09-08,9788863114126,72,-52
2026-09-08,9788822796004,97,-58
