snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-21,9788866320326,15,86
2026-09-21,9788850223039,28,73
2026-09-21,9788866321811,30,71
2026-09-21,2000000163635,38,63
2026-09-21,9788806273361,42,58
2026-09-21,9788806245702,41,57
2026-09-21,9788822663870,22,54
2026-09-21,9788845934018,9,49
2026-09-21,9791256240357,17,49
2026-09-21,9788834603000,56,45
2026-09-21,9788836282562,60,41
2026-09-21,9788838611179,61,40
2026-09-21,9788806216467,39,40
2026-09-21,9788807970078,44,40
2026-09-21,9788838949272,62,39
2026-09-21,9788830152526,25,39
2026-09-21,9788845912542,63,38
2026-09-21,2000000163499,12,35
2026-09-21,9791221208870,31,34
2026-09-21,9788863116151,67,34
2026-09-21,9788822796585,23,32
2026-09-21,9791256170326,69,32
2026-09-21,2000000163130,36,31
2026-09-21,2000000163161,71,30
2026-09-21,9791221952919,32,30
2026-09-21,2000000163680,73,28
2026-09-21,9788813388997,45,28
2026-09-21,2000000163277,18,23
2026-09-21,9788804820413,79,22
2026-09-21,9788850337941,29,21
2026-09-21,9788806239831,80,21
2026-09-21,9788806256340,10,20
2026-09-21,9788806242572,81,15
2026-09-21,9788891847560,2,14
2026-09-21,9788809930087,87,14
2026-09-21,9788811017240,88,13
2026-09-21,9788826610931,52,13
2026-09-21,9788836232581,58,12
2026-09-21,9788817188326,90,11
2026-09-21,9788804776895,8,10
2026-09-21,9791259578839,7,10
2026-09-21,9788817200646,91,10
2026-09-21,9791221904673,68,10
2026-09-21,9788804819967,20,8
2026-09-21,9788817183499,21,6
2026-09-21,2000000163406,37,5
2026-09-21,9788822787149,50,3
2026-09-21,9788807037191,11,2
2026-09-21,9788817174459,47,2
2026-09-21,9788822925497,99,2
2026-09-21,9788820075453,6,1
2026-09-21,9788823514423,100,1
2026-09-21,9788804807278,19,0
2026-09-21,9788804817185,1,0
2026-09-21,9791221934892,16,0
2026-09-21,9791259856265,3,0
2026-09-21,9788836232567,57,-1
2026-09-21,9788822783387,95,-1
2026-09-21,9788845925023,5,-1
2026-09-21,9788836232635,59,-2
2026-09-21,9788820086626,4,-2
2026-09-21,9788845926983,27,-2
2026-09-21,9788838949968,26,-3
2026-09-21,9788829608935,14,-4
2026-09-21,9788828869269,13,-4
2026-09-21,9788804807148,77,-4
2026-09-21,9788858333037,65,-5
2026-09-21,9791223209790,33,-6
2026-09-21,9788820077334,92,-6
2026-09-21,9791257910594,35,-8
2026-09-21,9788829790135,24,-9
2026-09-21,9788804780373,76,-10
2026-09-21,9788807037139,43,-10
2026-09-21,9788822783967,48,-12
2026-09-21,9788815397225,46,-14
2026-09-21,9788806274146,84,-14
2026-09-21,2000000163109,70,-17
2026-09-21,9788830154988,54,-17
2026-09-21,9788806225186,40,-21
2026-09-21,9788863114126,66,-22
2026-09-21,9788804732495,74,-26
2026-09-21,9788808064851,86,-27
2026-09-21,9788822783974,49,-28
2026-09-21,9788822781833,94,-29
2026-09-21,9791224206385,34,-29
2026-09-21,9788820077723,93,-32
2026-09-21,9788830465015,55,-33
2026-09-21,9788806271978,83,-33
2026-09-21,9788804817680,78,-33
2026-09-21,9788823536104,51,-37
2026-09-21,9788858059661,64,-38
2026-09-21,9788822788283,97,-38
2026-09-21,9788822788290,98,-38
2026-09-21,9788813389192,89,-41
2026-09-21,9788822786333,96,-43
2026-09-21,2000000163475,72,-44
2026-09-21,9788829608959,53,-47
2026-09-21,9788804776666,75,-48
2026-09-21,9788806271305,82,-51
2026-09-21,9788807903816,85,-59
