snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-21,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-21,9791221904673,5.5,5.22,5.0,5.22,0.0,5.22,5.0
2026-09-21,9791221934892,9.9,9.4,5.0,9.4,0.0,9.4,5.0
2026-09-21,9791221952919,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-21,9791223209790,24.9,23.66,5.0,23.66,0.0,23.66,5.0
2026-09-21,9791224206385,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-21,9791256170326,7.3,6.94,5.0,,0.0,6.94,5.0
2026-09-21,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-21,9791257910594,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-21,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-21,9788804732495,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-21,9788804776666,35.0,33.25,5.0,33.25,0.0,33.25,5.0
2026-09-21,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-21,9788804780373,15.5,14.72,5.0,14.72,0.0,14.72,5.0
2026-09-21,9788804807148,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-21,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-21,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-21,9788804817680,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-21,9788804819967,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-21,9788804820413,21.0,19.95,5.0,,0.0,19.95,5.0
2026-09-21,9788806216467,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-21,9788806225186,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-21,9788806239831,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-21,9788806242572,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-21,9788806245702,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-21,9788806256340,22.5,21.38,5.0,21.38,0.0,21.38,5.0
2026-09-21,9788806271305,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-21,9788806271978,17.5,16.62,5.0,16.62,0.0,16.62,5.0
2026-09-21,9788806273361,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-21,9788806274146,13.5,12.82,5.0,12.82,0.0,12.82,5.0
2026-09-21,9788807037139,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-21,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-21,9788807903816,11.0,10.45,5.0,10.45,0.0,10.45,5.0
2026-09-21,9788807970078,19.0,18.05,5.0,18.05,0.0,18.05,5.0
