snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-12,9791256292356,12,89
2026-09-12,9788806256340,11,88
2026-09-12,9788857233987,22,79
2026-09-12,9788885345553,23,78
2026-09-12,2000000163406,10,78
2026-09-12,9788828869269,28,73
2026-09-12,9791223802335,35,66
2026-09-12,2000000170497,38,63
2026-09-12,9781265144913,39,62
2026-09-12,9788830152526,31,59
2026-09-12,9788808799388,42,59
2026-09-12,9791223281673,24,57
2026-09-12,9788845916250,47,54
2026-09-12,9791255721765,51,50
2026-09-12,2000000163109,53,48
2026-09-12,9788817183499,43,48
2026-09-12,9788834621936,45,47
2026-09-12,2000000170589,55,46
2026-09-12,9788822783974,19,45
2026-09-12,9781266898440,56,45
2026-09-12,9788804776666,57,44
2026-09-12,9788804807278,25,43
2026-09-12,9788829608935,29,40
2026-09-12,9788809898059,62,39
2026-09-12,9788811021339,63,38
2026-09-12,2000000163499,54,36
2026-09-12,9788807897450,60,35
2026-09-12,9791221934892,16,34
2026-09-12,9788822788276,70,31
2026-09-12,9788830463721,72,29
2026-09-12,9788823536104,13,28
2026-09-12,9788850276066,73,28
2026-09-12,9788838950353,46,27
2026-09-12,9788822787149,27,27
2026-09-12,9788855059176,74,27
2026-09-12,9788864201870,76,25
2026-09-12,9788836232581,14,25
2026-09-12,9788898963416,77,24
2026-09-12,9788806273361,3,21
2026-09-12,9788822780300,17,21
2026-09-12,9791256731459,81,20
2026-09-12,2000000163154,83,18
2026-09-12,2000000163215,84,17
2026-09-12,9788817201254,1,17
2026-09-12,9788822783387,18,16
2026-09-12,2000000163277,37,16
2026-09-12,9788822786333,69,16
2026-09-12,2000000165417,86,15
2026-09-12,9788858059661,34,14
2026-09-12,9788817188708,64,13
2026-09-12,9788829790135,30,13
2026-09-12,2000000170602,89,12
2026-09-12,9788842935759,33,12
2026-09-12,9791221957266,9,12
2026-09-12,2000000170787,90,11
2026-09-12,2000000171098,91,10
2026-09-12,9791224205074,8,8
2026-09-12,9788804735113,93,8
2026-09-12,9788804779896,95,6
2026-09-12,9788831743006,21,5
2026-09-12,9791259576521,7,5
2026-09-12,9788804817185,98,3
2026-09-12,2000000170435,88,3
2026-09-12,9788804776895,6,3
2026-09-12,9788806255787,99,2
2026-09-12,9788804729044,92,2
2026-09-12,9788836232567,2,1
2026-09-12,9791221952919,78,1
2026-09-12,9788806257835,100,1
2026-09-12,9788850241910,49,-2
2026-09-12,9788807901874,41,-2
2026-09-12,9788836232635,5,-3
2026-09-12,9788820086626,4,-3
2026-09-12,9788836232598,15,-4
2026-09-12,9788807970078,61,-4
2026-09-12,9791259578839,36,-4
2026-09-12,9788822781253,67,-5
2026-09-12,9788838929120,32,-5
2026-09-12,9788863114430,50,-7
2026-09-12,9788807037191,26,-8
2026-09-12,9788820082758,65,-10
2026-09-12,9788822786432,20,-12
2026-09-12,9791259678829,52,-19
2026-09-12,9788804798675,58,-20
2026-09-12,9788845925023,48,-20
2026-09-12,9788806225186,59,-25
2026-09-12,9788807037351,40,-29
2026-09-12,9791259856265,82,-30
2026-09-12,9788804773184,94,-30
2026-09-12,9788804807117,96,-30
2026-09-12,9788804807124,97,-30
2026-09-12,9788822783806,68,-32
2026-09-12,2000000170411,87,-33
2026-09-12,9788822780195,44,-40
2026-09-12,9788863114928,75,-45
2026-09-12,9788822794338,71,-46
2026-09-12,9788822773876,66,-59
2026-09-12,2000000163673,85,-62
2026-09-12,9791256240357,80,-65
2026-09-12,9791224206385,79,-73
