snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-12,9791256292356,,,5.0,12,89
2026-09-12,9788806256340,0.0,0.0,5.0,11,88
2026-09-12,9788857233987,,,,22,79
2026-09-12,9788885345553,,,,23,78
2026-09-12,2000000163406,,,,10,78
2026-09-12,9788828869269,,,5.0,28,73
2026-09-12,9791223802335,,,5.0,35,66
2026-09-12,2000000170497,,,,38,63
2026-09-12,9781265144913,,,5.0,39,62
2026-09-12,9788830152526,0.0,,5.0,31,59
2026-09-12,9788808799388,,,5.0,42,59
2026-09-12,9791223281673,0.0,0.0,5.0,24,57
2026-09-12,9788845916250,,,5.0,47,54
2026-09-12,9791255721765,,,5.0,51,50
2026-09-12,2000000163109,,,,53,48
2026-09-12,9788817183499,0.0,,5.0,43,48
2026-09-12,9788834621936,0.0,0.0,5.0,45,47
2026-09-12,2000000170589,,,,55,46
2026-09-12,9788822783974,0.0,0.0,5.0,19,45
2026-09-12,9781266898440,,,5.0,56,45
2026-09-12,9788804776666,,,5.0,57,44
2026-09-12,9788804807278,0.0,0.0,5.0,25,43
2026-09-12,9788829608935,0.0,0.0,5.0,29,40
2026-09-12,9788809898059,,,5.0,62,39
2026-09-12,9788811021339,,,5.0,63,38
2026-09-12,2000000163499,,,,54,36
2026-09-12,9788807897450,0.0,0.0,5.0,60,35
2026-09-12,9791221934892,0.0,0.0,5.0,16,34
2026-09-12,9788822788276,,,5.0,70,31
2026-09-12,9788830463721,,,5.0,72,29
2026-09-12,9788823536104,0.0,0.0,5.0,13,28
2026-09-12,9788850276066,,,5.0,73,28
2026-09-12,9788838950353,0.0,0.0,5.0,46,27
2026-09-12,9788822787149,0.0,0.0,5.0,27,27
2026-09-12,9788855059176,,,20.0,74,27
2026-09-12,9788864201870,,,5.0,76,25
2026-09-12,9788836232581,0.0,0.0,5.0,14,25
2026-09-12,9788898963416,,,5.0,77,24
2026-09-12,9788806273361,0.0,,5.0,3,21
2026-09-12,9788822780300,0.0,0.0,5.0,17,21
2026-09-12,9791256731459,,,5.0,81,20
2026-09-12,2000000163154,,,,83,18
2026-09-12,2000000163215,,,,84,17
2026-09-12,9788817201254,0.0,,5.0,1,17
2026-09-12,9788822783387,0.0,0.0,5.0,18,16
2026-09-12,2000000163277,,,,37,16
2026-09-12,9788822786333,0.0,0.0,5.0,69,16
2026-09-12,2000000165417,,,,86,15
2026-09-12,9788858059661,0.0,0.0,5.0,34,14
2026-09-12,9788817188708,0.0,,5.0,64,13
2026-09-12,9788829790135,0.0,0.0,5.0,30,13
2026-09-12,2000000170602,,,,89,12
2026-09-12,9788842935759,0.0,0.0,5.0,33,12
2026-09-12,9791221957266,0.0,0.0,5.0,9,12
2026-09-12,2000000170787,,,,90,11
2026-09-12,2000000171098,,,,91,10
2026-09-12,9791224205074,0.0,0.0,5.0,8,8
2026-09-12,9788804735113,,,5.0,93,8
2026-09-12,9788804779896,,,5.0,95,6
2026-09-12,9788831743006,0.0,0.0,5.0,21,5
2026-09-12,9791259576521,0.0,0.0,5.0,7,5
2026-09-12,9788804817185,,,5.0,98,3
2026-09-12,2000000170435,,,,88,3
2026-09-12,9788804776895,0.0,0.0,5.0,6,3
2026-09-12,9788806255787,,,5.0,99,2
2026-09-12,9788804729044,0.0,,5.0,92,2
2026-09-12,9788836232567,0.0,0.0,5.0,2,1
2026-09-12,9791221952919,0.0,0.0,5.0,78,1
2026-09-12,9788806257835,,,5.0,100,1
2026-09-12,9788850241910,0.0,0.0,5.0,49,-2
2026-09-12,9788807901874,0.0,0.0,5.0,41,-2
2026-09-12,9788836232635,0.0,0.0,5.0,5,-3
2026-09-12,9788820086626,0.0,0.0,5.0,4,-3
2026-09-12,9788836232598,0.0,0.0,5.0,15,-4
2026-09-12,9788807970078,0.0,0.0,5.0,61,-4
2026-09-12,9791259578839,0.0,0.0,5.0,36,-4
2026-09-12,9788822781253,0.0,0.0,5.0,67,-5
2026-09-12,9788838929120,0.0,0.0,5.0,32,-5
2026-09-12,9788863114430,10.0,,50.0,50,-7
2026-09-12,9788807037191,0.0,0.0,5.0,26,-8
2026-09-12,9788820082758,0.0,,5.0,65,-10
2026-09-12,9788822786432,0.0,0.0,5.0,20,-12
2026-09-12,9791259678829,0.0,0.0,5.0,52,-19
2026-09-12,9788804798675,0.0,0.0,5.0,58,-20
2026-09-12,9788845925023,0.0,0.0,5.0,48,-20
2026-09-12,9788806225186,0.0,0.0,5.0,59,-25
2026-09-12,9788807037351,0.0,0.0,5.0,40,-29
2026-09-12,9791259856265,0.0,,5.0,82,-30
2026-09-12,9788804773184,0.0,,5.0,94,-30
2026-09-12,9788804807117,0.0,0.0,5.0,96,-30
2026-09-12,9788804807124,0.0,0.0,5.0,97,-30
2026-09-12,9788822783806,0.0,0.0,5.0,68,-32
2026-09-12,2000000170411,,,,87,-33
2026-09-12,9788822780195,0.0,0.0,5.0,44,-40
2026-09-12,9788863114928,0.0,10.0,50.0,75,-45
2026-09-12,9788822794338,0.0,0.0,5.0,71,-46
2026-09-12,9788822773876,0.0,0.0,5.0,66,-59
2026-09-12,2000000163673,,,,85,-62
2026-09-12,9791256240357,0.0,0.0,5.0,80,-65
2026-09-12,9791224206385,0.0,0.0,5.0,79,-73
