snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-12,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-12,9788885345553,36.63,36.63,,,0.0,36.63,
2026-09-12,9788898963416,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-12,9791221934892,9.9,9.4,5.0,9.4,0.0,9.4,5.0
2026-09-12,9791221952919,19.9,18.9,5.0,18.9,0.0,18.9,5.0
2026-09-12,9791221957266,5.9,5.6,5.0,5.6,0.0,5.6,5.0
2026-09-12,9791223281673,38.0,36.1,5.0,36.1,0.0,36.1,5.0
2026-09-12,9791223802335,19.9,18.9,5.0,,0.0,18.9,5.0
2026-09-12,9791224205074,12.9,12.26,5.0,12.26,0.0,12.26,5.0
2026-09-12,9791224206385,10.0,9.5,5.0,9.5,0.0,9.5,5.0
2026-09-12,9791255721765,47.3,44.94,5.0,,0.0,44.94,5.0
2026-09-12,9791256240357,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-12,9791256292356,23.0,21.85,5.0,,0.0,21.85,5.0
2026-09-12,9791256731459,25.0,23.75,5.0,,0.0,23.75,5.0
2026-09-12,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-12,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-12,9791259678829,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-12,9781265144913,71.99,68.39,5.0,,0.0,68.39,5.0
2026-09-12,9781266898440,74.99,71.24,5.0,,0.0,71.24,5.0
2026-09-12,9788804729044,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-12,9788804735113,14.5,13.78,5.0,,0.0,13.78,5.0
2026-09-12,9788804773184,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-12,9788804776666,35.0,33.25,5.0,,0.0,33.25,5.0
2026-09-12,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-12,9788804779896,17.0,16.15,5.0,,0.0,16.15,5.0
2026-09-12,9788804798675,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-12,9788804807117,15.0,14.25,5.0,14.25,0.0,14.25,5.0
2026-09-12,9788804807124,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-12,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
