snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-13,9788822788252,,,5.0,19,82
2026-09-13,9791255721796,,,5.0,23,78
2026-09-13,9788811016496,,,5.0,26,75
2026-09-13,9791224206385,0.0,0.0,5.0,8,71
2026-09-13,9788822788290,0.0,,5.0,30,65
2026-09-13,9791224330226,0.0,0.0,5.0,22,64
2026-09-13,9791223209790,0.0,0.0,5.0,36,60
2026-09-13,9791221952919,0.0,0.0,5.0,21,57
2026-09-13,9788807970160,,,5.0,45,56
2026-09-13,9788804817185,0.0,,5.0,42,56
2026-09-13,9788863114928,0.0,0.0,50.0,20,55
2026-09-13,9788817203364,,,5.0,47,54
2026-09-13,9788817196611,0.0,0.0,5.0,27,52
2026-09-13,9788804729044,0.0,0.0,5.0,41,51
2026-09-13,9788826610931,,,5.0,53,48
2026-09-13,2000000163499,,,,7,47
2026-09-13,9788830154285,,,5.0,56,45
2026-09-13,2000000163673,,,,40,45
2026-09-13,9791224201168,0.0,0.0,5.0,37,45
2026-09-13,9788806244583,0.0,,5.0,43,44
2026-09-13,9788831030304,,,5.0,58,43
2026-09-13,9788822788276,0.0,,5.0,28,42
2026-09-13,9788834946794,,,5.0,59,42
2026-09-13,9788836005185,,,5.0,60,41
2026-09-13,9791255721789,0.0,0.0,5.0,13,40
2026-09-13,9788838625640,,,5.0,61,40
2026-09-13,9788822788283,0.0,0.0,5.0,29,38
2026-09-13,9788850241910,0.0,0.0,5.0,12,37
2026-09-13,9791221208870,,,5.0,65,36
2026-09-13,9788831028882,0.0,,5.0,57,34
2026-09-13,9791223232682,,,5.0,68,33
2026-09-13,9791259678522,,,5.0,70,31
2026-09-13,9791259679215,,,5.0,71,30
2026-09-13,9788863114096,0.0,,50.0,63,30
2026-09-13,9791280495600,,,5.0,72,29
2026-09-13,9788858059661,0.0,0.0,5.0,5,29
2026-09-13,9791281493049,,,5.0,73,28
2026-09-13,9791281656383,,,5.0,74,27
2026-09-13,9788817183499,0.0,0.0,5.0,16,27
2026-09-13,9791259578839,0.0,0.0,5.0,9,27
2026-09-13,9788804779254,,,5.0,76,25
2026-09-13,9788807037351,0.0,0.0,5.0,15,25
2026-09-13,9788804790761,,,5.0,77,24
2026-09-13,2000000163130,,,,38,24
2026-09-13,9788807037191,0.0,0.0,5.0,3,23
2026-09-13,9788804801696,,,5.0,79,22
2026-09-13,9788804806448,,,5.0,80,21
2026-09-13,9788822786333,0.0,0.0,5.0,48,21
2026-09-13,9788822793805,0.0,,5.0,51,21
2026-09-13,9788829790135,0.0,0.0,5.0,10,20
2026-09-13,9788817188708,0.0,0.0,5.0,46,18
2026-09-13,9788806235734,,,5.0,84,17
2026-09-13,9788845925023,0.0,0.0,5.0,34,14
2026-09-13,9788806274825,,,5.0,87,14
2026-09-13,9788838950353,0.0,0.0,5.0,33,13
2026-09-13,9788807175619,,,5.0,88,13
2026-09-13,9788807900341,,,5.0,89,12
2026-09-13,9788807900525,,,5.0,90,11
2026-09-13,9788838949968,0.0,0.0,5.0,4,11
2026-09-13,9788807970054,,,5.0,91,10
2026-09-13,9788863114355,0.0,,50.0,64,9
2026-09-13,9788817190602,,,5.0,93,8
2026-09-13,9788822667915,,,5.0,95,6
2026-09-13,9791259576521,0.0,0.0,5.0,2,5
2026-09-13,9788822773630,,,5.0,96,5
2026-09-13,9788820086626,0.0,0.0,5.0,1,3
2026-09-13,9788822788351,0.0,,5.0,50,3
2026-09-13,9788822795380,,,5.0,99,2
2026-09-13,9791224205074,0.0,0.0,5.0,6,2
2026-09-13,9788804807278,0.0,0.0,5.0,24,1
2026-09-13,9788822783387,0.0,0.0,5.0,18,0
2026-09-13,9788806271305,0.0,,5.0,86,0
2026-09-13,9788829608959,0.0,0.0,5.0,55,0
2026-09-13,9791256292356,0.0,,5.0,14,-2
2026-09-13,2000000163277,,,,39,-2
2026-09-13,9788807901874,0.0,0.0,5.0,44,-3
2026-09-13,9788892251519,0.0,,5.0,35,-5
2026-09-13,9788804796749,0.0,,5.0,78,-9
2026-09-13,9788836232567,0.0,0.0,5.0,11,-9
2026-09-13,9788804807131,0.0,0.0,5.0,82,-10
2026-09-13,9788831743006,0.0,0.0,5.0,31,-10
2026-09-13,9788804806455,0.0,,5.0,81,-12
2026-09-13,9788806216467,0.0,,5.0,83,-14
2026-09-13,9788817201254,0.0,0.0,5.0,17,-16
2026-09-13,9788845923326,0.0,0.0,5.0,62,-16
2026-09-13,9788806273361,0.0,0.0,5.0,25,-22
2026-09-13,9788822787149,0.0,0.0,5.0,49,-22
2026-09-13,9788829608935,0.0,0.0,5.0,54,-25
2026-09-13,9791223286869,0.0,0.0,5.0,69,-25
2026-09-13,9788836232635,0.0,0.0,5.0,32,-27
2026-09-13,9788817174459,0.0,,5.0,92,-34
2026-09-13,9788822783967,0.0,0.0,5.0,97,-34
2026-09-13,9788822796585,0.0,0.0,5.0,52,-38
2026-09-13,9788820084776,0.0,0.0,5.0,94,-44
2026-09-13,9791221934892,0.0,0.0,5.0,66,-50
2026-09-13,9791221957266,0.0,0.0,5.0,67,-58
2026-09-13,9788804776895,0.0,0.0,5.0,75,-69
2026-09-13,9788806256340,0.0,0.0,5.0,85,-74
2026-09-13,9788822783974,0.0,0.0,5.0,98,-79
2026-09-13,9788823536104,0.0,0.0,5.0,100,-87
