snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-13,9788822788252,19,82
2026-09-13,9791255721796,23,78
2026-09-13,9788811016496,26,75
2026-09-13,9791224206385,8,71
2026-09-13,9788822788290,30,65
2026-09-13,9791224330226,22,64
2026-09-13,9791223209790,36,60
2026-09-13,9791221952919,21,57
2026-09-13,9788807970160,45,56
2026-09-13,9788804817185,42,56
2026-09-13,9788863114928,20,55
2026-09-13,9788817203364,47,54
2026-09-13,9788817196611,27,52
2026-09-13,9788804729044,41,51
2026-09-13,9788826610931,53,48
2026-09-13,2000000163499,7,47
2026-09-13,9788830154285,56,45
2026-09-13,2000000163673,40,45
2026-09-13,9791224201168,37,45
2026-09-13,9788806244583,43,44
2026-09-13,9788831030304,58,43
2026-09-13,9788822788276,28,42
2026-09-13,9788834946794,59,42
2026-09-13,9788836005185,60,41
2026-09-13,9791255721789,13,40
2026-09-13,9788838625640,61,40
2026-09-13,9788822788283,29,38
2026-09-13,9788850241910,12,37
2026-09-13,9791221208870,65,36
2026-09-13,9788831028882,57,34
2026-09-13,9791223232682,68,33
2026-09-13,9791259678522,70,31
2026-09-13,9791259679215,71,30
2026-09-13,9788863114096,63,30
2026-09-13,9791280495600,72,29
2026-09-13,9788858059661,5,29
2026-09-13,9791281493049,73,28
2026-09-13,9791281656383,74,27
2026-09-13,9788817183499,16,27
2026-09-13,9791259578839,9,27
2026-09-13,9788804779254,76,25
2026-09-13,9788807037351,15,25
2026-09-13,9788804790761,77,24
2026-09-13,2000000163130,38,24
2026-09-13,9788807037191,3,23
2026-09-13,9788804801696,79,22
2026-09-13,9788804806448,80,21
2026-09-13,9788822786333,48,21
2026-09-13,9788822793805,51,21
2026-09-13,9788829790135,10,20
2026-09-13,9788817188708,46,18
2026-09-13,9788806235734,84,17
2026-09-13,9788845925023,34,14
2026-09-13,9788806274825,87,14
2026-09-13,9788838950353,33,13
2026-09-13,9788807175619,88,13
2026-09-13,9788807900341,89,12
2026-09-13,9788807900525,90,11
2026-09-13,9788838949968,4,11
2026-09-13,9788807970054,91,10
2026-09-13,9788863114355,64,9
2026-09-13,9788817190602,93,8
2026-09-13,9788822667915,95,6
2026-09-13,9791259576521,2,5
2026-09-13,9788822773630,96,5
2026-09-13,9788820086626,1,3
2026-09-13,9788822788351,50,3
2026-09-13,9788822795380,99,2
2026-09-13,9791224205074,6,2
2026-09-13,9788804807278,24,1
2026-09-13,9788822783387,18,0
2026-09-13,9788806271305,86,0
2026-09-13,9788829608959,55,0
2026-09-13,9791256292356,14,-2
2026-09-13,2000000163277,39,-2
2026-09-13,9788807901874,44,-3
2026-09-13,9788892251519,35,-5
2026-09-13,9788804796749,78,-9
2026-09-13,9788836232567,11,-9
2026-09-13,9788804807131,82,-10
2026-09-13,9788831743006,31,-10
2026-09-13,9788804806455,81,-12
2026-09-13,9788806216467,83,-14
2026-09-13,9788817201254,17,-16
2026-09-13,9788845923326,62,-16
2026-09-13,9788806273361,25,-22
2026-09-13,9788822787149,49,-22
2026-09-13,9788829608935,54,-25
2026-09-13,9791223286869,69,-25
2026-09-13,9788836232635,32,-27
2026-09-13,9788817174459,92,-34
2026-09-13,9788822783967,97,-34
2026-09-13,9788822796585,52,-38
2026-09-13,9788820084776,94,-44
2026-09-13,9791221934892,66,-50
2026-09-13,9791221957266,67,-58
2026-09-13,9788804776895,75,-69
2026-09-13,9788806256340,85,-74
2026-09-13,9788822783974,98,-79
2026-09-13,9788823536104,100,-87
