snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-19,9788817201117,32,69
2026-09-19,9788874668557,41,60
2026-09-19,9788804807278,11,58
2026-09-19,9791223286869,45,55
2026-09-19,9788804745549,49,52
2026-09-19,9791221109894,10,50
2026-09-19,9788806235932,52,49
2026-09-19,9788806262877,53,44
2026-09-19,9788806256340,30,43
2026-09-19,9791255721741,8,43
2026-09-19,9788808064851,59,42
2026-09-19,9788806244583,29,42
2026-09-19,9788804819967,28,40
2026-09-19,9788820077723,61,40
2026-09-19,9788823536708,64,37
2026-09-19,9791223209790,26,36
2026-09-19,9788829794478,66,35
2026-09-19,9788891846457,43,34
2026-09-19,9788879821605,42,34
2026-09-19,9788804732495,48,33
2026-09-19,9788807900310,57,32
2026-09-19,9791259578839,17,28
2026-09-19,9791221115741,15,28
2026-09-19,9788858350218,74,27
2026-09-19,9788845277634,14,25
2026-09-19,9788891291073,76,25
2026-09-19,9791221115215,77,24
2026-09-19,9791221934892,16,24
2026-09-19,9788863114096,40,23
2026-09-19,9788807092176,55,22
2026-09-19,9791221958423,79,22
2026-09-19,9788807037351,12,22
2026-09-19,9788828219316,34,21
2026-09-19,9791257661700,81,20
2026-09-19,9788807175732,56,19
2026-09-19,9788804817680,51,19
2026-09-19,9791280772619,82,19
2026-09-19,9788834845783,69,19
2026-09-19,9788820075453,21,19
2026-09-19,9788813389192,60,18
2026-09-19,9791281729193,83,18
2026-09-19,9791257910594,27,17
2026-09-19,9788845926983,25,16
2026-09-19,9788836232635,22,16
2026-09-19,9788845925023,24,16
2026-09-19,9788804801832,50,15
2026-09-19,2000000165059,87,14
2026-09-19,9788800746427,88,13
2026-09-19,9788829608959,6,13
2026-09-19,9788807900815,20,13
2026-09-19,9788800749411,89,12
2026-09-19,9788804745440,90,11
2026-09-19,9788804779889,92,9
2026-09-19,9791224206385,7,7
2026-09-19,9791256240357,9,6
2026-09-19,9788806218188,97,4
2026-09-19,9788804773184,91,3
2026-09-19,9788891847560,2,3
2026-09-19,9788806245702,98,3
2026-09-19,9788804817185,3,3
2026-09-19,9788804807124,95,2
2026-09-19,9791221957266,44,2
2026-09-19,9788864201870,75,1
2026-09-19,9788838949968,23,1
2026-09-19,9788820086626,1,1
2026-09-19,9791259856265,5,-1
2026-09-19,9788804776895,18,-2
2026-09-19,2000000163253,85,-2
2026-09-19,9788820084745,62,-2
2026-09-19,9791221952919,4,-3
2026-09-19,9788807901874,58,-7
2026-09-19,9788829790135,13,-10
2026-09-19,9788806225186,19,-11
2026-09-19,9788826610931,65,-11
2026-09-19,9788815397225,31,-13
2026-09-19,9788828869269,36,-13
2026-09-19,9788858059661,73,-14
2026-09-19,2000000163499,47,-16
2026-09-19,9791259576521,46,-16
2026-09-19,9791224205074,80,-17
2026-09-19,9788838950353,38,-18
2026-09-19,2000000163093,84,-21
2026-09-19,9788828220138,35,-23
2026-09-19,9788822783387,33,-24
2026-09-19,9788850241910,39,-29
2026-09-19,9788829608492,37,-30
2026-09-19,9788804813163,96,-30
2026-09-19,9788806270995,99,-30
2026-09-19,9791221904673,78,-33
2026-09-19,9788807037191,54,-37
2026-09-19,9788858045473,72,-37
2026-09-19,9788830906471,68,-38
2026-09-19,9788804783145,93,-38
2026-09-19,9788822787149,63,-41
2026-09-19,9788804796749,94,-46
2026-09-19,9788845923326,71,-46
2026-09-19,9788830465015,67,-54
2026-09-19,9788836232581,70,-56
2026-09-19,2000000163475,86,-68
2026-09-19,9788806273361,100,-82
