snapshot_date,isbn_code,full_price,current_price,current_discount,yesterday_price,price_difference,lowest_price,highest_discount
2026-09-19,9791281729193,17.5,16.62,5.0,,0.0,16.62,5.0
2026-09-19,9791257910594,20.0,19.0,5.0,19.0,0.0,19.0,5.0
2026-09-19,9791259576521,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-19,9791259578839,14.9,14.16,5.0,14.16,0.0,14.16,5.0
2026-09-19,9791259856265,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-19,9791280772619,25.0,23.75,5.0,,0.0,23.75,5.0
2026-09-19,9788800746427,32.0,30.4,5.0,,0.0,30.4,5.0
2026-09-19,9788800749411,29.0,27.55,5.0,,0.0,27.55,5.0
2026-09-19,9788804732495,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-19,9788804745440,19.5,18.52,5.0,,0.0,18.52,5.0
2026-09-19,9788804745549,9.5,9.02,5.0,,0.0,9.02,5.0
2026-09-19,9788804773184,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-19,9788804776895,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-19,9788804779889,15.0,14.25,5.0,,0.0,14.25,5.0
2026-09-19,9788804783145,14.5,13.78,5.0,13.78,0.0,13.78,5.0
2026-09-19,9788804796749,11.5,10.92,5.0,10.92,0.0,10.92,5.0
2026-09-19,9788804801832,18.5,17.58,5.0,17.58,0.0,17.58,5.0
2026-09-19,9788804807124,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-19,9788804807278,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-19,9788804813163,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-19,9788804817185,25.0,23.75,5.0,23.75,0.0,23.75,5.0
2026-09-19,9788804817680,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-19,9788804819967,22.0,20.9,5.0,20.9,0.0,20.9,5.0
2026-09-19,9788806218188,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-19,9788806225186,16.0,15.2,5.0,15.2,0.0,15.2,5.0
2026-09-19,9788806235932,24.0,22.8,5.0,,0.0,22.8,5.0
2026-09-19,9788806244583,14.0,13.3,5.0,13.3,0.0,13.3,5.0
2026-09-19,9788806245702,13.0,12.35,5.0,,0.0,12.35,5.0
2026-09-19,9788806256340,22.5,21.38,5.0,21.38,0.0,21.38,5.0
2026-09-19,9788806262877,17.0,16.15,5.0,16.15,0.0,16.15,5.0
2026-09-19,9788806270995,19.5,18.52,5.0,18.52,0.0,18.52,5.0
2026-09-19,9788806273361,13.0,12.35,5.0,12.35,0.0,12.35,5.0
2026-09-19,9788807037191,19.0,18.05,5.0,18.05,0.0,18.05,5.0
2026-09-19,9788807037351,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-19,9788807092176,12.0,11.4,5.0,11.4,0.0,11.4,5.0
2026-09-19,9788807175732,18.0,17.1,5.0,17.1,0.0,17.1,5.0
2026-09-19,9788807900310,7.0,6.65,5.0,6.65,0.0,6.65,5.0
2026-09-19,9788807900815,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-19,9788807901874,9.0,8.55,5.0,8.55,0.0,8.55,5.0
2026-09-19,9788808064851,43.3,41.14,5.0,,0.0,41.14,5.0
2026-09-19,9788813389192,70.0,66.5,5.0,66.5,0.0,66.5,5.0
2026-09-19,9788815397225,47.0,44.65,5.0,44.65,0.0,44.65,5.0
2026-09-19,9788817201117,22.9,21.76,5.0,,0.0,21.76,5.0
2026-09-19,9788820075453,17.9,17.0,5.0,17.0,0.0,17.0,5.0
2026-09-19,9788820077723,17.9,17.0,5.0,,0.0,17.0,5.0
2026-09-19,9788820084745,18.9,17.96,5.0,17.96,0.0,17.96,5.0
2026-09-19,9788820086626,21.0,19.95,5.0,19.95,0.0,19.95,5.0
2026-09-19,9788822783387,3.9,3.7,5.0,3.7,0.0,3.7,5.0
2026-09-19,9788822787149,3.9,3.7,5.0,3.7,0.0,3.7,5.0
