snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-11,9788817201254,,,5.0,18,83
2026-09-11,9791259577146,,,5.0,22,79
2026-09-11,2000000163673,,,,23,78
2026-09-11,9788806273361,,,5.0,24,77
2026-09-11,9791221957266,0.0,,5.0,21,74
2026-09-11,9788822796585,0.0,0.0,5.0,14,71
2026-09-11,9788892251519,,,5.0,30,71
2026-09-11,9791224204015,,,5.0,31,70
2026-09-11,9788838929120,0.0,0.0,5.0,27,66
2026-09-11,9788845934018,0.0,0.0,5.0,29,62
2026-09-11,9788829705320,0.0,,5.0,42,56
2026-09-11,9791259856265,,,5.0,52,49
2026-09-11,2000000170411,,,,54,47
2026-09-11,9788804783145,,,5.0,55,46
2026-09-11,9788804820246,,,5.0,56,45
2026-09-11,9788830155039,0.0,,5.0,44,43
2026-09-11,9788817174459,,,5.0,58,43
2026-09-11,9788820086701,,,5.0,61,40
2026-09-11,9788822793669,0.0,,5.0,40,35
2026-09-11,9788845923326,0.0,,5.0,46,33
2026-09-11,9788834946886,,,5.0,70,31
2026-09-11,9791259678829,0.0,0.0,5.0,33,28
2026-09-11,9788822788283,0.0,,5.0,67,27
2026-09-11,9788842934844,,,5.0,74,27
2026-09-11,9788863114010,,,50.0,75,26
2026-09-11,9788879821605,,,5.0,76,25
2026-09-11,9791221120639,,,5.0,77,24
2026-09-11,9788822776938,0.0,0.0,5.0,10,23
2026-09-11,9791221941234,,,5.0,78,23
2026-09-11,9788838935688,0.0,,5.0,72,22
2026-09-11,9791221954456,,,5.0,80,21
2026-09-11,9788820084745,0.0,,5.0,60,20
2026-09-11,9788822773876,0.0,0.0,5.0,7,20
2026-09-11,9788822783974,0.0,0.0,5.0,64,18
2026-09-11,9788822783967,0.0,0.0,5.0,63,18
2026-09-11,9788822781253,0.0,0.0,5.0,62,17
2026-09-11,9791224201168,0.0,,5.0,82,17
2026-09-11,9791224207900,,,5.0,84,17
2026-09-11,9788858056851,0.0,,5.0,5,17
2026-09-11,9788822783790,0.0,0.0,5.0,19,16
2026-09-11,9791223281673,0.0,,5.0,81,16
2026-09-11,9788822784926,0.0,0.0,5.0,13,16
2026-09-11,9788807970078,0.0,0.0,5.0,57,16
2026-09-11,9788806225186,0.0,,5.0,34,15
2026-09-11,9791282576000,,,5.0,87,14
2026-09-11,9788822781277,0.0,0.0,5.0,39,13
2026-09-11,2000000163444,,,,89,12
2026-09-11,2000000170435,,,,91,10
2026-09-11,2000000170657,,,,92,9
2026-09-11,2000000170732,,,,93,8
2026-09-11,9788804729044,,,5.0,94,7
2026-09-11,9788836232635,0.0,0.0,5.0,2,7
2026-09-11,9788804750482,,,5.0,95,6
2026-09-11,9788822794338,0.0,0.0,5.0,25,5
2026-09-11,9788804789871,,,5.0,96,5
2026-09-11,9788836232567,0.0,0.0,5.0,3,4
2026-09-11,9788806219178,,,5.0,98,3
2026-09-11,9788822780195,0.0,0.0,5.0,4,2
2026-09-11,9788845925023,0.0,0.0,5.0,28,1
2026-09-11,9788842935759,0.0,0.0,5.0,45,1
2026-09-11,9788845926983,0.0,0.0,5.0,20,1
2026-09-11,9791224205074,0.0,0.0,5.0,16,0
2026-09-11,9788820086626,0.0,0.0,5.0,1,0
2026-09-11,9791224208396,0.0,0.0,5.0,17,0
2026-09-11,9788836232598,0.0,0.0,5.0,11,-1
2026-09-11,9791224206385,0.0,0.0,5.0,6,-2
2026-09-11,9791259576521,0.0,0.0,5.0,12,-2
2026-09-11,9788804776895,0.0,0.0,5.0,9,-4
2026-09-11,9788822773920,0.0,0.0,5.0,37,-5
2026-09-11,9788829790135,0.0,,5.0,43,-5
2026-09-11,9788822786432,0.0,0.0,5.0,8,-6
2026-09-11,9788850241910,0.0,0.0,5.0,47,-7
2026-09-11,9788838949968,0.0,0.0,5.0,15,-7
2026-09-11,9788831743006,0.0,0.0,5.0,26,-7
2026-09-11,9791221934892,0.0,0.0,5.0,50,-7
2026-09-11,9788822773913,0.0,0.0,5.0,36,-8
2026-09-11,9788806266448,0.0,,5.0,100,-8
2026-09-11,9791259578839,0.0,0.0,5.0,32,-8
2026-09-11,9788806274504,0.0,0.0,5.0,35,-9
2026-09-11,9788820083755,0.0,0.0,5.0,59,-10
2026-09-11,9788822784919,0.0,0.0,5.0,65,-12
2026-09-11,9788804819967,0.0,,5.0,97,-12
2026-09-11,9788822796028,0.0,0.0,5.0,68,-13
2026-09-11,9788836232604,0.0,,5.0,71,-14
2026-09-11,2000000163406,,,,88,-22
2026-09-11,9788822780300,0.0,0.0,5.0,38,-25
2026-09-11,9791224208358,0.0,,5.0,85,-26
2026-09-11,9788823536104,0.0,0.0,5.0,41,-27
2026-09-11,2000000163499,,,,90,-27
2026-09-11,9791255721741,0.0,0.0,5.0,51,-28
2026-09-11,2000000163277,,,,53,-28
2026-09-11,9788891847560,0.0,0.0,5.0,49,-30
2026-09-11,9791224204039,0.0,,5.0,83,-32
2026-09-11,9788858059661,0.0,0.0,5.0,48,-32
2026-09-11,9788829608935,0.0,0.0,5.0,69,-34
2026-09-11,9791221952919,0.0,0.0,5.0,79,-34
2026-09-11,9791224330226,0.0,,5.0,86,-40
2026-09-11,9788838950353,0.0,0.0,5.0,73,-61
2026-09-11,9788822787781,0.0,0.0,5.0,66,-63
2026-09-11,9788806256340,0.0,0.0,5.0,99,-79
