snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-11,9788817201254,18,83
2026-09-11,9791259577146,22,79
2026-09-11,2000000163673,23,78
2026-09-11,9788806273361,24,77
2026-09-11,9791221957266,21,74
2026-09-11,9788822796585,14,71
2026-09-11,9788892251519,30,71
2026-09-11,9791224204015,31,70
2026-09-11,9788838929120,27,66
2026-09-11,9788845934018,29,62
2026-09-11,9788829705320,42,56
2026-09-11,9791259856265,52,49
2026-09-11,2000000170411,54,47
2026-09-11,9788804783145,55,46
2026-09-11,9788804820246,56,45
2026-09-11,9788830155039,44,43
2026-09-11,9788817174459,58,43
2026-09-11,9788820086701,61,40
2026-09-11,9788822793669,40,35
2026-09-11,9788845923326,46,33
2026-09-11,9788834946886,70,31
2026-09-11,9791259678829,33,28
2026-09-11,9788822788283,67,27
2026-09-11,9788842934844,74,27
2026-09-11,9788863114010,75,26
2026-09-11,9788879821605,76,25
2026-09-11,9791221120639,77,24
2026-09-11,9788822776938,10,23
2026-09-11,9791221941234,78,23
2026-09-11,9788838935688,72,22
2026-09-11,9791221954456,80,21
2026-09-11,9788820084745,60,20
2026-09-11,9788822773876,7,20
2026-09-11,9788822783974,64,18
2026-09-11,9788822783967,63,18
2026-09-11,9788822781253,62,17
2026-09-11,9791224201168,82,17
2026-09-11,9791224207900,84,17
2026-09-11,9788858056851,5,17
2026-09-11,9788822783790,19,16
2026-09-11,9791223281673,81,16
2026-09-11,9788822784926,13,16
2026-09-11,9788807970078,57,16
2026-09-11,9788806225186,34,15
2026-09-11,9791282576000,87,14
2026-09-11,9788822781277,39,13
2026-09-11,2000000163444,89,12
2026-09-11,2000000170435,91,10
2026-09-11,2000000170657,92,9
2026-09-11,2000000170732,93,8
2026-09-11,9788804729044,94,7
2026-09-11,9788836232635,2,7
2026-09-11,9788804750482,95,6
2026-09-11,9788822794338,25,5
2026-09-11,9788804789871,96,5
2026-09-11,9788836232567,3,4
2026-09-11,9788806219178,98,3
2026-09-11,9788822780195,4,2
2026-09-11,9788845925023,28,1
2026-09-11,9788842935759,45,1
2026-09-11,9788845926983,20,1
2026-09-11,9791224205074,16,0
2026-09-11,9788820086626,1,0
2026-09-11,9791224208396,17,0
2026-09-11,9788836232598,11,-1
2026-09-11,9791224206385,6,-2
2026-09-11,9791259576521,12,-2
2026-09-11,9788804776895,9,-4
2026-09-11,9788822773920,37,-5
2026-09-11,9788829790135,43,-5
2026-09-11,9788822786432,8,-6
2026-09-11,9788850241910,47,-7
2026-09-11,9788838949968,15,-7
2026-09-11,9788831743006,26,-7
2026-09-11,9791221934892,50,-7
2026-09-11,9788822773913,36,-8
2026-09-11,9788806266448,100,-8
2026-09-11,9791259578839,32,-8
2026-09-11,9788806274504,35,-9
2026-09-11,9788820083755,59,-10
2026-09-11,9788822784919,65,-12
2026-09-11,9788804819967,97,-12
2026-09-11,9788822796028,68,-13
2026-09-11,9788836232604,71,-14
2026-09-11,2000000163406,88,-22
2026-09-11,9788822780300,38,-25
2026-09-11,9791224208358,85,-26
2026-09-11,9788823536104,41,-27
2026-09-11,2000000163499,90,-27
2026-09-11,9791255721741,51,-28
2026-09-11,2000000163277,53,-28
2026-09-11,9788891847560,49,-30
2026-09-11,9791224204039,83,-32
2026-09-11,9788858059661,48,-32
2026-09-11,9788829608935,69,-34
2026-09-11,9791221952919,79,-34
2026-09-11,9791224330226,86,-40
2026-09-11,9788838950353,73,-61
2026-09-11,9788822787781,66,-63
2026-09-11,9788806256340,99,-79
