snapshot_date,isbn_code,rank,leaderboard_jump
2026-09-09,9788848330206,48,53
2026-09-09,9788859018957,49,52
2026-09-09,9788822780188,43,50
2026-09-09,9791224204039,51,50
2026-09-09,9788804813163,53,48
2026-09-09,9788863113495,30,48
2026-09-09,9788831743006,19,47
2026-09-09,9788858059661,16,47
2026-09-09,9788820082758,55,46
2026-09-09,9788822788313,58,43
2026-09-09,9788822781253,28,42
2026-09-09,9788833700014,61,40
2026-09-09,9788831780988,60,39
2026-09-09,9788885345362,37,37
2026-09-09,9791255751380,64,37
2026-09-09,9788822776952,32,37
2026-09-09,9788881586387,36,37
2026-09-09,2000000163703,67,34
2026-09-09,9788800500869,68,33
2026-09-09,9788804806455,69,32
2026-09-09,9788804807148,73,28
2026-09-09,9788807898723,75,26
2026-09-09,9788804798675,38,24
2026-09-09,9788817188708,77,24
2026-09-09,9788817196604,78,23
2026-09-09,9788845410048,15,23
2026-09-09,9788820084745,80,21
2026-09-09,9791255721741,22,18
2026-09-09,9791221934892,21,18
2026-09-09,9788822783929,83,18
2026-09-09,2000000163130,65,17
2026-09-09,9791224209348,63,16
2026-09-09,9788828786207,86,15
2026-09-09,9788808599049,76,15
2026-09-09,9788842935759,46,15
2026-09-09,9788830155039,87,14
2026-09-09,9788831743020,88,13
2026-09-09,9788834621936,89,12
2026-09-09,9788804807131,72,12
2026-09-09,9788804807124,71,12
2026-09-09,9788804807117,70,12
2026-09-09,9788836232598,11,12
2026-09-09,9788822780171,81,11
2026-09-09,9788845941061,47,10
2026-09-09,9788850275793,92,9
2026-09-09,9788880560050,93,8
2026-09-09,9791221939361,94,7
2026-09-09,9788822783813,44,6
2026-09-09,9791221957266,95,6
2026-09-09,9788822780300,17,5
2026-09-09,9791223281673,97,4
2026-09-09,9788822780195,9,4
2026-09-09,9791256240357,2,4
2026-09-09,9791223802366,98,3
2026-09-09,9788800500876,52,3
2026-09-09,9788804776895,5,3
2026-09-09,9788806271978,25,3
2026-09-09,9788807901874,39,3
2026-09-09,9788822786449,45,3
2026-09-09,9788804807278,24,2
2026-09-09,9791224201168,99,2
2026-09-09,9788822773876,8,2
2026-09-09,9788807037351,13,0
2026-09-09,9788836232635,7,0
2026-09-09,9788820086626,1,0
2026-09-09,9788822786432,3,-1
2026-09-09,9788836232567,6,-1
2026-09-09,9791224206385,4,-1
2026-09-09,2000000163406,66,-2
2026-09-09,9788822784926,18,-2
2026-09-09,9788838949968,14,-3
2026-09-09,9788820083755,26,-5
2026-09-09,9788838950353,20,-5
2026-09-09,9788845925023,29,-5
2026-09-09,9791224205074,12,-5
2026-09-09,9791259576521,10,-6
2026-09-09,9791259578839,23,-6
2026-09-09,9788829608935,35,-7
2026-09-09,9788822773913,41,-8
2026-09-09,9788822794338,59,-10
2026-09-09,9788822787781,33,-11
2026-09-09,9788891847560,62,-11
2026-09-09,9788822776938,42,-11
2026-09-09,9788822762405,40,-15
2026-09-09,9788820084776,27,-15
2026-09-09,9788845934018,91,-16
2026-09-09,9788822773920,56,-18
2026-09-09,9791223286869,50,-19
2026-09-09,9791224208396,31,-19
2026-09-09,9788823536104,34,-20
2026-09-09,9791223209790,96,-21
2026-09-09,9788817196611,79,-31
2026-09-09,9788822784919,84,-33
2026-09-09,9788822787149,57,-34
2026-09-09,9788807037191,54,-34
2026-09-09,9788806256340,74,-42
2026-09-09,9788822796585,85,-44
2026-09-09,9791224201434,100,-55
2026-09-09,9788836232581,90,-58
2026-09-09,9788822783806,82,-60
