snapshot_date,isbn_code,discount_difference_1,discount_difference_2,discount,rank,rank_difference
2026-09-09,9788848330206,,,5.0,48,53
2026-09-09,9788859018957,,,5.0,49,52
2026-09-09,9788822780188,0.0,0.0,5.0,43,50
2026-09-09,9791224204039,,,5.0,51,50
2026-09-09,9788804813163,,,5.0,53,48
2026-09-09,9788863113495,0.0,0.0,50.0,30,48
2026-09-09,9788831743006,0.0,0.0,5.0,19,47
2026-09-09,9788858059661,0.0,0.0,5.0,16,47
2026-09-09,9788820082758,,,5.0,55,46
2026-09-09,9788822788313,,,5.0,58,43
2026-09-09,9788822781253,0.0,0.0,5.0,28,42
2026-09-09,9788833700014,,,5.0,61,40
2026-09-09,9788831780988,0.0,,5.0,60,39
2026-09-09,9788885345362,,,,37,37
2026-09-09,9791255751380,,,5.0,64,37
2026-09-09,9788822776952,0.0,0.0,5.0,32,37
2026-09-09,9788881586387,30.0,,20.0,36,37
2026-09-09,2000000163703,,,,67,34
2026-09-09,9788800500869,,,5.0,68,33
2026-09-09,9788804806455,,,5.0,69,32
2026-09-09,9788804807148,,,5.0,73,28
2026-09-09,9788807898723,,,5.0,75,26
2026-09-09,9788804798675,0.0,,5.0,38,24
2026-09-09,9788817188708,,,5.0,77,24
2026-09-09,9788817196604,,,5.0,78,23
2026-09-09,9788845410048,0.0,,5.0,15,23
2026-09-09,9788820084745,,,5.0,80,21
2026-09-09,9791255721741,0.0,,5.0,22,18
2026-09-09,9791221934892,0.0,0.0,5.0,21,18
2026-09-09,9788822783929,,,5.0,83,18
2026-09-09,2000000163130,,,,65,17
2026-09-09,9791224209348,0.0,0.0,5.0,63,16
2026-09-09,9788828786207,,,5.0,86,15
2026-09-09,9788808599049,0.0,0.0,5.0,76,15
2026-09-09,9788842935759,0.0,0.0,5.0,46,15
2026-09-09,9788830155039,,,5.0,87,14
2026-09-09,9788831743020,,,5.0,88,13
2026-09-09,9788834621936,,,5.0,89,12
2026-09-09,9788804807131,0.0,,5.0,72,12
2026-09-09,9788804807124,0.0,,5.0,71,12
2026-09-09,9788804807117,0.0,,5.0,70,12
2026-09-09,9788836232598,0.0,0.0,5.0,11,12
2026-09-09,9788822780171,0.0,,5.0,81,11
2026-09-09,9788845941061,0.0,0.0,5.0,47,10
2026-09-09,9788850275793,,,5.0,92,9
2026-09-09,9788880560050,,,5.0,93,8
2026-09-09,9791221939361,,,5.0,94,7
2026-09-09,9788822783813,0.0,,5.0,44,6
2026-09-09,9791221957266,,,5.0,95,6
2026-09-09,9788822780300,0.0,0.0,5.0,17,5
2026-09-09,9791223281673,,,5.0,97,4
2026-09-09,9788822780195,0.0,0.0,5.0,9,4
2026-09-09,9791256240357,0.0,0.0,5.0,2,4
2026-09-09,9791223802366,,,5.0,98,3
2026-09-09,9788800500876,0.0,,5.0,52,3
2026-09-09,9788804776895,0.0,0.0,5.0,5,3
2026-09-09,9788806271978,0.0,0.0,5.0,25,3
2026-09-09,9788807901874,0.0,0.0,5.0,39,3
2026-09-09,9788822786449,0.0,,5.0,45,3
2026-09-09,9788804807278,0.0,0.0,5.0,24,2
2026-09-09,9791224201168,,,5.0,99,2
2026-09-09,9788822773876,0.0,0.0,5.0,8,2
2026-09-09,9788807037351,0.0,0.0,5.0,13,0
2026-09-09,9788836232635,0.0,0.0,5.0,7,0
2026-09-09,9788820086626,0.0,0.0,5.0,1,0
2026-09-09,9788822786432,0.0,0.0,5.0,3,-1
2026-09-09,9788836232567,0.0,0.0,5.0,6,-1
2026-09-09,9791224206385,0.0,0.0,5.0,4,-1
2026-09-09,2000000163406,,,,66,-2
2026-09-09,9788822784926,0.0,0.0,5.0,18,-2
2026-09-09,9788838949968,0.0,0.0,5.0,14,-3
2026-09-09,9788820083755,0.0,,5.0,26,-5
2026-09-09,9788838950353,0.0,,5.0,20,-5
2026-09-09,9788845925023,0.0,0.0,5.0,29,-5
2026-09-09,9791224205074,0.0,0.0,5.0,12,-5
2026-09-09,9791259576521,0.0,0.0,5.0,10,-6
2026-09-09,9791259578839,0.0,,5.0,23,-6
2026-09-09,9788829608935,0.0,,5.0,35,-7
2026-09-09,9788822773913,0.0,0.0,5.0,41,-8
2026-09-09,9788822794338,0.0,0.0,5.0,59,-10
2026-09-09,9788822787781,0.0,0.0,5.0,33,-11
2026-09-09,9788891847560,0.0,0.0,5.0,62,-11
2026-09-09,9788822776938,0.0,0.0,5.0,42,-11
2026-09-09,9788822762405,0.0,0.0,5.0,40,-15
2026-09-09,9788820084776,0.0,,5.0,27,-15
2026-09-09,9788845934018,0.0,0.0,5.0,91,-16
2026-09-09,9788822773920,0.0,0.0,5.0,56,-18
2026-09-09,9791223286869,0.0,0.0,5.0,50,-19
2026-09-09,9791224208396,0.0,0.0,5.0,31,-19
2026-09-09,9788823536104,0.0,0.0,5.0,34,-20
2026-09-09,9791223209790,0.0,0.0,5.0,96,-21
2026-09-09,9788817196611,0.0,,5.0,79,-31
2026-09-09,9788822784919,0.0,0.0,5.0,84,-33
2026-09-09,9788822787149,0.0,0.0,5.0,57,-34
2026-09-09,9788807037191,0.0,,5.0,54,-34
2026-09-09,9788806256340,0.0,0.0,5.0,74,-42
2026-09-09,9788822796585,0.0,0.0,5.0,85,-44
2026-09-09,9791224201434,0.0,,5.0,100,-55
2026-09-09,9788836232581,0.0,0.0,5.0,90,-58
2026-09-09,9788822783806,0.0,0.0,5.0,82,-60
